# wavelength (um)	eclipse depth
0.0000006487	0.0000033405
0.0000007489	0.0000059890
0.0000008490	0.0000094899
0.0000009491	0.0000137978
0.0000010492	0.0000181160
0.0000011493	0.0000222476
0.0000012494	0.0000266946
0.0000013494	0.0000311968
0.0000014495	0.0000356159
0.0000015495	0.0000399392
0.0000016495	0.0000441768
0.0000017495	0.0000483106
0.0000018495	0.0000523075
0.0000019495	0.0000561164
0.0000020496	0.0000596759
0.0000021496	0.0000630038
0.0000022496	0.0000662022
0.0000023496	0.0000698075
0.0000024497	0.0000732260
0.0000025496	0.0000763793
0.0000026496	0.0000794239
0.0000027497	0.0000831725
0.0000028497	0.0000862894
0.0000029497	0.0000887988
0.0000030497	0.0000909917
0.0000031497	0.0000930634
0.0000032497	0.0000949343
0.0000033498	0.0000967617
0.0000034498	0.0000984899
0.0000035498	0.0001001410
0.0000036498	0.0001017611
0.0000037498	0.0001033267
0.0000038498	0.0001048677
0.0000039498	0.0001063643
0.0000040498	0.0001078154
0.0000041498	0.0001092332
0.0000042499	0.0001106965
0.0000043498	0.0001122294
0.0000044498	0.0001137561
0.0000045498	0.0001153969
0.0000046498	0.0001172586
0.0000047499	0.0001190827
0.0000048499	0.0001207426
0.0000049498	0.0001224227
0.0000050498	0.0001242500
0.0000051498	0.0001261517
0.0000052497	0.0001280379
0.0000053498	0.0001296792
0.0000054498	0.0001311877
0.0000055499	0.0001324875
0.0000056500	0.0001338123
0.0000057499	0.0001350499
0.0000058498	0.0001364786
0.0000059497	0.0001379733
