# wavelength (um)	eclipse depth
0.0000006487	0.0000012368
0.0000007489	0.0000019267
0.0000008490	0.0000028637
0.0000009491	0.0000044419
0.0000010492	0.0000060916
0.0000011493	0.0000076691
0.0000012494	0.0000085433
0.0000013494	0.0000116237
0.0000014495	0.0000142104
0.0000015495	0.0000111605
0.0000016495	0.0000110670
0.0000017495	0.0000135021
0.0000018495	0.0000214274
0.0000019495	0.0000348673
0.0000020496	0.0000279366
0.0000021496	0.0000291927
0.0000022496	0.0000386312
0.0000023496	0.0000507258
0.0000024497	0.0000546082
0.0000025496	0.0000603956
0.0000026496	0.0000685527
0.0000027497	0.0000928712
0.0000028497	0.0000945471
0.0000029497	0.0000961746
0.0000030497	0.0000948894
0.0000031497	0.0000935123
0.0000032497	0.0000914450
0.0000033498	0.0000906596
0.0000034498	0.0000895404
0.0000035498	0.0000866461
0.0000036498	0.0000858243
0.0000037498	0.0000862122
0.0000038498	0.0000866873
0.0000039498	0.0000871523
0.0000040498	0.0000882516
0.0000041498	0.0000899189
0.0000042499	0.0000919494
0.0000043498	0.0000940075
0.0000044498	0.0000964342
0.0000045498	0.0000994257
0.0000046498	0.0001030002
0.0000047499	0.0001071544
0.0000048499	0.0001106124
0.0000049498	0.0001134442
0.0000050498	0.0001157496
0.0000051498	0.0001175309
0.0000052497	0.0001208467
0.0000053498	0.0001246079
0.0000054498	0.0001270093
0.0000055499	0.0001295737
0.0000056500	0.0001324001
0.0000057499	0.0001353579
0.0000058498	0.0001376001
0.0000059497	0.0001403072
