# wavelength (um)	eclipse depth
0.0000006487	0.0000036256
0.0000007489	0.0000064955
0.0000008490	0.0000102523
0.0000009491	0.0000146482
0.0000010492	0.0000190796
0.0000011493	0.0000234545
0.0000012494	0.0000281248
0.0000013494	0.0000329854
0.0000014495	0.0000377307
0.0000015495	0.0000423153
0.0000016495	0.0000467102
0.0000017495	0.0000509150
0.0000018495	0.0000549413
0.0000019495	0.0000587368
0.0000020496	0.0000621663
0.0000021496	0.0000654492
0.0000022496	0.0000685111
0.0000023496	0.0000717349
0.0000024497	0.0000747484
0.0000025496	0.0000775630
0.0000026496	0.0000803607
0.0000027497	0.0000852640
0.0000028497	0.0000890564
0.0000029497	0.0000916630
0.0000030497	0.0000935657
0.0000031497	0.0000951549
0.0000032497	0.0000964278
0.0000033498	0.0000977114
0.0000034498	0.0000989561
0.0000035498	0.0000999974
0.0000036498	0.0001011272
0.0000037498	0.0001022626
0.0000038498	0.0001035007
0.0000039498	0.0001048300
0.0000040498	0.0001060749
0.0000041498	0.0001073495
0.0000042499	0.0001087360
0.0000043498	0.0001102546
0.0000044498	0.0001122193
0.0000045498	0.0001147528
0.0000046498	0.0001169147
0.0000047499	0.0001184203
0.0000048499	0.0001196035
0.0000049498	0.0001208491
0.0000050498	0.0001218771
0.0000051498	0.0001227931
0.0000052497	0.0001238334
0.0000053498	0.0001247512
0.0000054498	0.0001255676
0.0000055499	0.0001264944
0.0000056500	0.0001275209
0.0000057499	0.0001287924
0.0000058498	0.0001305202
0.0000059497	0.0001325119
