# wavelength (um)	eclipse depth
0.0000006487	0.0000016891
0.0000007489	0.0000027755
0.0000008490	0.0000041157
0.0000009491	0.0000061164
0.0000010492	0.0000087302
0.0000011493	0.0000113540
0.0000012494	0.0000141369
0.0000013494	0.0000163414
0.0000014495	0.0000176083
0.0000015495	0.0000184632
0.0000016495	0.0000196229
0.0000017495	0.0000209899
0.0000018495	0.0000223612
0.0000019495	0.0000238486
0.0000020496	0.0000251999
0.0000021496	0.0000264651
0.0000022496	0.0000273939
0.0000023496	0.0000283705
0.0000024497	0.0000289083
0.0000025496	0.0000295132
0.0000026496	0.0000305579
0.0000027497	0.0000339778
0.0000028497	0.0000390124
0.0000029497	0.0000422115
0.0000030497	0.0000427012
0.0000031497	0.0000419772
0.0000032497	0.0000413924
0.0000033498	0.0000428531
0.0000034498	0.0000457760
0.0000035498	0.0000435419
0.0000036498	0.0000434804
0.0000037498	0.0000440636
0.0000038498	0.0000451405
0.0000039498	0.0000468409
0.0000040498	0.0000488240
0.0000041498	0.0000512017
0.0000042499	0.0000559254
0.0000043498	0.0000660369
0.0000044498	0.0000700354
0.0000045498	0.0000748480
0.0000046498	0.0000857779
0.0000047499	0.0000931785
0.0000048499	0.0000986807
0.0000049498	0.0001049687
0.0000050498	0.0001110979
0.0000051498	0.0001158447
0.0000052497	0.0001202280
0.0000053498	0.0001240017
0.0000054498	0.0001266794
0.0000055499	0.0001267856
0.0000056500	0.0001278854
0.0000057499	0.0001303693
0.0000058498	0.0001333178
0.0000059497	0.0001361167
