# wavelength (um)	eclipse depth
0.0000006487	0.0000016654
0.0000007489	0.0000029737
0.0000008490	0.0000045477
0.0000009491	0.0000064318
0.0000010492	0.0000084662
0.0000011493	0.0000106531
0.0000012494	0.0000126671
0.0000013494	0.0000143154
0.0000014495	0.0000155733
0.0000015495	0.0000165183
0.0000016495	0.0000172888
0.0000017495	0.0000177865
0.0000018495	0.0000182945
0.0000019495	0.0000186731
0.0000020496	0.0000186400
0.0000021496	0.0000186318
0.0000022496	0.0000194580
0.0000023496	0.0000215251
0.0000024497	0.0000237249
0.0000025496	0.0000261375
0.0000026496	0.0000292961
0.0000027497	0.0000415179
0.0000028497	0.0000481594
0.0000029497	0.0000519751
0.0000030497	0.0000522451
0.0000031497	0.0000507402
0.0000032497	0.0000485443
0.0000033498	0.0000481394
0.0000034498	0.0000487419
0.0000035498	0.0000473564
0.0000036498	0.0000484349
0.0000037498	0.0000508691
0.0000038498	0.0000518259
0.0000039498	0.0000532988
0.0000040498	0.0000553482
0.0000041498	0.0000590782
0.0000042499	0.0000633582
0.0000043498	0.0000685545
0.0000044498	0.0000757306
0.0000045498	0.0000774122
0.0000046498	0.0000833236
0.0000047499	0.0000872307
0.0000048499	0.0000919257
0.0000049498	0.0000952896
0.0000050498	0.0000988568
0.0000051498	0.0001047928
0.0000052497	0.0001108256
0.0000053498	0.0001151950
0.0000054498	0.0001188500
0.0000055499	0.0001220809
0.0000056500	0.0001245664
0.0000057499	0.0001260453
0.0000058498	0.0001276847
0.0000059497	0.0001296000
