# wavelength (um)	eclipse depth
0.0000006487	0.0000027899
0.0000007489	0.0000049976
0.0000008490	0.0000079388
0.0000009491	0.0000116042
0.0000010492	0.0000152503
0.0000011493	0.0000186850
0.0000012494	0.0000228163
0.0000013494	0.0000266433
0.0000014495	0.0000348401
0.0000015495	0.0000430573
0.0000016495	0.0000456900
0.0000017495	0.0000469045
0.0000018495	0.0000506456
0.0000019495	0.0000618227
0.0000020496	0.0000665342
0.0000021496	0.0000649833
0.0000022496	0.0000642631
0.0000023496	0.0000717150
0.0000024497	0.0000772366
0.0000025496	0.0000805376
0.0000026496	0.0000864289
0.0000027497	0.0000915948
0.0000028497	0.0000960509
0.0000029497	0.0000989797
0.0000030497	0.0001003622
0.0000031497	0.0001024970
0.0000032497	0.0001049295
0.0000033498	0.0001070562
0.0000034498	0.0001088073
0.0000035498	0.0001096630
0.0000036498	0.0001099036
0.0000037498	0.0001109619
0.0000038498	0.0001131779
0.0000039498	0.0001157325
0.0000040498	0.0001180287
0.0000041498	0.0001200346
0.0000042499	0.0001218122
0.0000043498	0.0001234092
0.0000044498	0.0001249169
0.0000045498	0.0001262661
0.0000046498	0.0001274502
0.0000047499	0.0001282415
0.0000048499	0.0001290515
0.0000049498	0.0001299884
0.0000050498	0.0001312872
0.0000051498	0.0001327933
0.0000052497	0.0001343957
0.0000053498	0.0001358877
0.0000054498	0.0001373263
0.0000055499	0.0001386700
0.0000056500	0.0001400057
0.0000057499	0.0001411543
0.0000058498	0.0001422604
0.0000059497	0.0001433567
