# wavelength (um)	eclipse depth
0.0000006487	0.0000039774
0.0000007489	0.0000071525
0.0000008490	0.0000112186
0.0000009491	0.0000159393
0.0000010492	0.0000210213
0.0000011493	0.0000261309
0.0000012494	0.0000310024
0.0000013494	0.0000355691
0.0000014495	0.0000397758
0.0000015495	0.0000438644
0.0000016495	0.0000480093
0.0000017495	0.0000520869
0.0000018495	0.0000561312
0.0000019495	0.0000600163
0.0000020496	0.0000636023
0.0000021496	0.0000668690
0.0000022496	0.0000701168
0.0000023496	0.0000742008
0.0000024497	0.0000779437
0.0000025496	0.0000813444
0.0000026496	0.0000843247
0.0000027497	0.0000879992
0.0000028497	0.0000944667
0.0000029497	0.0001004461
0.0000030497	0.0001036480
0.0000031497	0.0001057298
0.0000032497	0.0001073504
0.0000033498	0.0001086683
0.0000034498	0.0001098001
0.0000035498	0.0001110053
0.0000036498	0.0001122852
0.0000037498	0.0001135738
0.0000038498	0.0001148934
0.0000039498	0.0001158601
0.0000040498	0.0001168685
0.0000041498	0.0001180953
0.0000042499	0.0001193819
0.0000043498	0.0001206796
0.0000044498	0.0001218991
0.0000045498	0.0001231849
0.0000046498	0.0001241415
0.0000047499	0.0001249907
0.0000048499	0.0001259079
0.0000049498	0.0001266413
0.0000050498	0.0001271737
0.0000051498	0.0001277620
0.0000052497	0.0001285942
0.0000053498	0.0001296952
0.0000054498	0.0001309605
0.0000055499	0.0001324129
0.0000056500	0.0001339519
0.0000057499	0.0001355019
0.0000058498	0.0001367594
0.0000059497	0.0001380651
