# wavelength (um)	eclipse depth
0.0000006487	0.0000020092
0.0000007489	0.0000040700
0.0000008490	0.0000081139
0.0000009491	0.0000128402
0.0000010492	0.0000172659
0.0000011493	0.0000207247
0.0000012494	0.0000238289
0.0000013494	0.0000255603
0.0000014495	0.0000246428
0.0000015495	0.0000226082
0.0000016495	0.0000230553
0.0000017495	0.0000264345
0.0000018495	0.0000302021
0.0000019495	0.0000324511
0.0000020496	0.0000321265
0.0000021496	0.0000297481
0.0000022496	0.0000275354
0.0000023496	0.0000271317
0.0000024497	0.0000279265
0.0000025496	0.0000297171
0.0000026496	0.0000320544
0.0000027497	0.0000403859
0.0000028497	0.0000458566
0.0000029497	0.0000496568
0.0000030497	0.0000503178
0.0000031497	0.0000513015
0.0000032497	0.0000521347
0.0000033498	0.0000526198
0.0000034498	0.0000539404
0.0000035498	0.0000547626
0.0000036498	0.0000563487
0.0000037498	0.0000584992
0.0000038498	0.0000606763
0.0000039498	0.0000627358
0.0000040498	0.0000650302
0.0000041498	0.0000671908
0.0000042499	0.0000702566
0.0000043498	0.0000722612
0.0000044498	0.0000745573
0.0000045498	0.0000771930
0.0000046498	0.0000809558
0.0000047499	0.0000851677
0.0000048499	0.0000915205
0.0000049498	0.0000996828
0.0000050498	0.0001014393
0.0000051498	0.0001064190
0.0000052497	0.0001084419
0.0000053498	0.0001079897
0.0000054498	0.0001105808
0.0000055499	0.0001122078
0.0000056500	0.0001155098
0.0000057499	0.0001146427
0.0000058498	0.0001158727
0.0000059497	0.0001192378
