# wavelength (um)	eclipse depth
0.0000006487	0.0000038182
0.0000007489	0.0000071959
0.0000008490	0.0000115998
0.0000009491	0.0000164457
0.0000010492	0.0000213554
0.0000011493	0.0000261405
0.0000012494	0.0000299907
0.0000013494	0.0000330635
0.0000014495	0.0000362952
0.0000015495	0.0000386151
0.0000016495	0.0000409931
0.0000017495	0.0000454981
0.0000018495	0.0000506815
0.0000019495	0.0000554112
0.0000020496	0.0000597154
0.0000021496	0.0000642850
0.0000022496	0.0000686768
0.0000023496	0.0000745555
0.0000024497	0.0000796510
0.0000025496	0.0000834603
0.0000026496	0.0000864471
0.0000027497	0.0000894975
0.0000028497	0.0000926791
0.0000029497	0.0000961231
0.0000030497	0.0000995672
0.0000031497	0.0001028517
0.0000032497	0.0001057072
0.0000033498	0.0001090731
0.0000034498	0.0001114889
0.0000035498	0.0001145352
0.0000036498	0.0001174408
0.0000037498	0.0001199739
0.0000038498	0.0001224155
0.0000039498	0.0001246991
0.0000040498	0.0001276926
0.0000041498	0.0001297302
0.0000042499	0.0001322624
0.0000043498	0.0001386604
0.0000044498	0.0001448610
0.0000045498	0.0001478210
0.0000046498	0.0001495927
0.0000047499	0.0001502625
0.0000048499	0.0001513326
0.0000049498	0.0001528986
0.0000050498	0.0001541754
0.0000051498	0.0001553201
0.0000052497	0.0001585987
0.0000053498	0.0001590808
0.0000054498	0.0001599554
0.0000055499	0.0001629980
0.0000056500	0.0001604056
0.0000057499	0.0001623059
0.0000058498	0.0001625672
0.0000059497	0.0001639663
