# wavelength (um)	eclipse depth
0.0000006487	0.0000034675
0.0000007489	0.0000065591
0.0000008490	0.0000107936
0.0000009491	0.0000154319
0.0000010492	0.0000198706
0.0000011493	0.0000240850
0.0000012494	0.0000276834
0.0000013494	0.0000306911
0.0000014495	0.0000339307
0.0000015495	0.0000363289
0.0000016495	0.0000388595
0.0000017495	0.0000432867
0.0000018495	0.0000483255
0.0000019495	0.0000529343
0.0000020496	0.0000570175
0.0000021496	0.0000612865
0.0000022496	0.0000652915
0.0000023496	0.0000707493
0.0000024497	0.0000755327
0.0000025496	0.0000791484
0.0000026496	0.0000822094
0.0000027497	0.0000869212
0.0000028497	0.0000907547
0.0000029497	0.0000942573
0.0000030497	0.0000976427
0.0000031497	0.0001008216
0.0000032497	0.0001033277
0.0000033498	0.0001063350
0.0000034498	0.0001084210
0.0000035498	0.0001113283
0.0000036498	0.0001142094
0.0000037498	0.0001167527
0.0000038498	0.0001192981
0.0000039498	0.0001216673
0.0000040498	0.0001248064
0.0000041498	0.0001269472
0.0000042499	0.0001296681
0.0000043498	0.0001362914
0.0000044498	0.0001426451
0.0000045498	0.0001457886
0.0000046498	0.0001478192
0.0000047499	0.0001486556
0.0000048499	0.0001498559
0.0000049498	0.0001514615
0.0000050498	0.0001529074
0.0000051498	0.0001541089
0.0000052497	0.0001574345
0.0000053498	0.0001579689
0.0000054498	0.0001588712
0.0000055499	0.0001619447
0.0000056500	0.0001594888
0.0000057499	0.0001613682
0.0000058498	0.0001617014
0.0000059497	0.0001630702
