# wavelength (um)	eclipse depth
0.0000006487	0.0000037865
0.0000007489	0.0000068860
0.0000008490	0.0000108655
0.0000009491	0.0000155655
0.0000010492	0.0000207115
0.0000011493	0.0000260564
0.0000012494	0.0000315250
0.0000013494	0.0000369865
0.0000014495	0.0000423398
0.0000015495	0.0000473785
0.0000016495	0.0000524127
0.0000017495	0.0000572291
0.0000018495	0.0000618495
0.0000019495	0.0000662371
0.0000020496	0.0000704394
0.0000021496	0.0000744348
0.0000022496	0.0000782502
0.0000023496	0.0000818846
0.0000024497	0.0000852912
0.0000025496	0.0000885456
0.0000026496	0.0000916484
0.0000027497	0.0000950982
0.0000028497	0.0000978571
0.0000029497	0.0001005322
0.0000030497	0.0001030300
0.0000031497	0.0001053109
0.0000032497	0.0001074865
0.0000033498	0.0001095414
0.0000034498	0.0001115006
0.0000035498	0.0001134984
0.0000036498	0.0001154128
0.0000037498	0.0001172637
0.0000038498	0.0001190472
0.0000039498	0.0001207768
0.0000040498	0.0001223949
0.0000041498	0.0001239559
0.0000042499	0.0001254841
0.0000043498	0.0001269666
0.0000044498	0.0001283662
0.0000045498	0.0001297558
0.0000046498	0.0001311579
0.0000047499	0.0001324651
0.0000048499	0.0001337598
0.0000049498	0.0001350103
0.0000050498	0.0001361758
0.0000051498	0.0001372572
0.0000052497	0.0001382472
0.0000053498	0.0001393099
0.0000054498	0.0001402432
0.0000055499	0.0001411552
0.0000056500	0.0001421046
0.0000057499	0.0001430117
0.0000058498	0.0001439499
0.0000059497	0.0001447996
