# wavelength (um)	eclipse depth
0.0000006487	0.0000037461
0.0000007489	0.0000069935
0.0000008490	0.0000112583
0.0000009491	0.0000159818
0.0000010492	0.0000207079
0.0000011493	0.0000253137
0.0000012494	0.0000290793
0.0000013494	0.0000321242
0.0000014495	0.0000353443
0.0000015495	0.0000376427
0.0000016495	0.0000398736
0.0000017495	0.0000443666
0.0000018495	0.0000493391
0.0000019495	0.0000539607
0.0000020496	0.0000581550
0.0000021496	0.0000625825
0.0000022496	0.0000668846
0.0000023496	0.0000725596
0.0000024497	0.0000774886
0.0000025496	0.0000811725
0.0000026496	0.0000840972
0.0000027497	0.0000870036
0.0000028497	0.0000902836
0.0000029497	0.0000936663
0.0000030497	0.0000969806
0.0000031497	0.0001000022
0.0000032497	0.0001026492
0.0000033498	0.0001057439
0.0000034498	0.0001080164
0.0000035498	0.0001108868
0.0000036498	0.0001135915
0.0000037498	0.0001158492
0.0000038498	0.0001180772
0.0000039498	0.0001200998
0.0000040498	0.0001228463
0.0000041498	0.0001245598
0.0000042499	0.0001269002
0.0000043498	0.0001328970
0.0000044498	0.0001387674
0.0000045498	0.0001415975
0.0000046498	0.0001434416
0.0000047499	0.0001443229
0.0000048499	0.0001456437
0.0000049498	0.0001474872
0.0000050498	0.0001491838
0.0000051498	0.0001505864
0.0000052497	0.0001540055
0.0000053498	0.0001547089
0.0000054498	0.0001556466
0.0000055499	0.0001586806
0.0000056500	0.0001563438
0.0000057499	0.0001583535
0.0000058498	0.0001588240
0.0000059497	0.0001603963
