# wavelength (um)	eclipse depth
0.0000006487	0.0000038524
0.0000007489	0.0000069881
0.0000008490	0.0000110137
0.0000009491	0.0000157668
0.0000010492	0.0000209296
0.0000011493	0.0000262952
0.0000012494	0.0000318203
0.0000013494	0.0000373333
0.0000014495	0.0000427371
0.0000015495	0.0000480284
0.0000016495	0.0000531610
0.0000017495	0.0000580599
0.0000018495	0.0000627013
0.0000019495	0.0000671430
0.0000020496	0.0000713432
0.0000021496	0.0000753656
0.0000022496	0.0000791555
0.0000023496	0.0000827599
0.0000024497	0.0000862016
0.0000025496	0.0000895015
0.0000026496	0.0000926477
0.0000027497	0.0000959790
0.0000028497	0.0000988452
0.0000029497	0.0001015545
0.0000030497	0.0001041274
0.0000031497	0.0001064337
0.0000032497	0.0001085809
0.0000033498	0.0001105901
0.0000034498	0.0001125235
0.0000035498	0.0001145286
0.0000036498	0.0001164323
0.0000037498	0.0001182615
0.0000038498	0.0001200166
0.0000039498	0.0001217293
0.0000040498	0.0001233575
0.0000041498	0.0001249319
0.0000042499	0.0001264575
0.0000043498	0.0001278790
0.0000044498	0.0001293265
0.0000045498	0.0001306286
0.0000046498	0.0001319785
0.0000047499	0.0001332462
0.0000048499	0.0001344511
0.0000049498	0.0001356591
0.0000050498	0.0001367857
0.0000051498	0.0001379000
0.0000052497	0.0001389803
0.0000053498	0.0001400568
0.0000054498	0.0001410009
0.0000055499	0.0001420019
0.0000056500	0.0001429415
0.0000057499	0.0001437933
0.0000058498	0.0001446913
0.0000059497	0.0001455281
