# wavelength (um)	eclipse depth
0.0000006487	0.0000038901
0.0000007489	0.0000072673
0.0000008490	0.0000116696
0.0000009491	0.0000165451
0.0000010492	0.0000214255
0.0000011493	0.0000261512
0.0000012494	0.0000299489
0.0000013494	0.0000329714
0.0000014495	0.0000361599
0.0000015495	0.0000385017
0.0000016495	0.0000408883
0.0000017495	0.0000454019
0.0000018495	0.0000505697
0.0000019495	0.0000553272
0.0000020496	0.0000596479
0.0000021496	0.0000642321
0.0000022496	0.0000686266
0.0000023496	0.0000744913
0.0000024497	0.0000795474
0.0000025496	0.0000833161
0.0000026496	0.0000862738
0.0000027497	0.0000891046
0.0000028497	0.0000924226
0.0000029497	0.0000958694
0.0000030497	0.0000992590
0.0000031497	0.0001025396
0.0000032497	0.0001053195
0.0000033498	0.0001086442
0.0000034498	0.0001110620
0.0000035498	0.0001140803
0.0000036498	0.0001170133
0.0000037498	0.0001194766
0.0000038498	0.0001219181
0.0000039498	0.0001241540
0.0000040498	0.0001271928
0.0000041498	0.0001292245
0.0000042499	0.0001318118
0.0000043498	0.0001382425
0.0000044498	0.0001445713
0.0000045498	0.0001475877
0.0000046498	0.0001494750
0.0000047499	0.0001503033
0.0000048499	0.0001514191
0.0000049498	0.0001530291
0.0000050498	0.0001544551
0.0000051498	0.0001556509
0.0000052497	0.0001590131
0.0000053498	0.0001595149
0.0000054498	0.0001604462
0.0000055499	0.0001634996
0.0000056500	0.0001609496
0.0000057499	0.0001628936
0.0000058498	0.0001631168
0.0000059497	0.0001645274
