# wavelength (um)	eclipse depth
0.0000006487	0.0000036953
0.0000007489	0.0000067131
0.0000008490	0.0000105695
0.0000009491	0.0000151020
0.0000010492	0.0000200511
0.0000011493	0.0000252366
0.0000012494	0.0000304072
0.0000013494	0.0000354640
0.0000014495	0.0000404779
0.0000015495	0.0000451919
0.0000016495	0.0000498977
0.0000017495	0.0000542842
0.0000018495	0.0000585275
0.0000019495	0.0000629524
0.0000020496	0.0000663576
0.0000021496	0.0000699280
0.0000022496	0.0000737831
0.0000023496	0.0000779657
0.0000024497	0.0000813218
0.0000025496	0.0000845347
0.0000026496	0.0000884161
0.0000027497	0.0000954014
0.0000028497	0.0000986475
0.0000029497	0.0001014094
0.0000030497	0.0001039640
0.0000031497	0.0001060441
0.0000032497	0.0001077112
0.0000033498	0.0001089003
0.0000034498	0.0001099046
0.0000035498	0.0001112159
0.0000036498	0.0001128669
0.0000037498	0.0001149903
0.0000038498	0.0001168554
0.0000039498	0.0001188707
0.0000040498	0.0001208745
0.0000041498	0.0001229800
0.0000042499	0.0001250235
0.0000043498	0.0001270904
0.0000044498	0.0001290490
0.0000045498	0.0001305530
0.0000046498	0.0001321454
0.0000047499	0.0001335441
0.0000048499	0.0001348795
0.0000049498	0.0001361778
0.0000050498	0.0001373500
0.0000051498	0.0001384526
0.0000052497	0.0001395506
0.0000053498	0.0001406284
0.0000054498	0.0001416194
0.0000055499	0.0001426245
0.0000056500	0.0001435889
0.0000057499	0.0001444650
0.0000058498	0.0001453450
0.0000059497	0.0001461540
