# wavelength (um)	eclipse depth
0.0000006487	0.0000032955
0.0000007489	0.0000067796
0.0000008490	0.0000116239
0.0000009491	0.0000167128
0.0000010492	0.0000218358
0.0000011493	0.0000265814
0.0000012494	0.0000301264
0.0000013494	0.0000323355
0.0000014495	0.0000329311
0.0000015495	0.0000318509
0.0000016495	0.0000306556
0.0000017495	0.0000319746
0.0000018495	0.0000345832
0.0000019495	0.0000372932
0.0000020496	0.0000398567
0.0000021496	0.0000426855
0.0000022496	0.0000454540
0.0000023496	0.0000492465
0.0000024497	0.0000525539
0.0000025496	0.0000551640
0.0000026496	0.0000577537
0.0000027497	0.0000620429
0.0000028497	0.0000667400
0.0000029497	0.0000704652
0.0000030497	0.0000737324
0.0000031497	0.0000768496
0.0000032497	0.0000798927
0.0000033498	0.0000847469
0.0000034498	0.0000884607
0.0000035498	0.0000934130
0.0000036498	0.0000986411
0.0000037498	0.0001034908
0.0000038498	0.0001077795
0.0000039498	0.0001113576
0.0000040498	0.0001157553
0.0000041498	0.0001187991
0.0000042499	0.0001236910
0.0000043498	0.0001307412
0.0000044498	0.0001373597
0.0000045498	0.0001412739
0.0000046498	0.0001440184
0.0000047499	0.0001454454
0.0000048499	0.0001479714
0.0000049498	0.0001510770
0.0000050498	0.0001525170
0.0000051498	0.0001540281
0.0000052497	0.0001576250
0.0000053498	0.0001582481
0.0000054498	0.0001593303
0.0000055499	0.0001624175
0.0000056500	0.0001599508
0.0000057499	0.0001617797
0.0000058498	0.0001620532
0.0000059497	0.0001633565
