# wavelength (um)	eclipse depth
0.0000006487	0.0000039433
0.0000007489	0.0000070904
0.0000008490	0.0000111200
0.0000009491	0.0000157499
0.0000010492	0.0000205167
0.0000011493	0.0000253839
0.0000012494	0.0000304633
0.0000013494	0.0000356844
0.0000014495	0.0000408030
0.0000015495	0.0000458609
0.0000016495	0.0000506909
0.0000017495	0.0000553123
0.0000018495	0.0000596717
0.0000019495	0.0000638014
0.0000020496	0.0000678041
0.0000021496	0.0000715171
0.0000022496	0.0000750676
0.0000023496	0.0000784856
0.0000024497	0.0000817607
0.0000025496	0.0000848395
0.0000026496	0.0000879262
0.0000027497	0.0000918597
0.0000028497	0.0000957894
0.0000029497	0.0000988679
0.0000030497	0.0001015823
0.0000031497	0.0001040093
0.0000032497	0.0001058305
0.0000033498	0.0001074002
0.0000034498	0.0001088582
0.0000035498	0.0001104793
0.0000036498	0.0001120717
0.0000037498	0.0001134135
0.0000038498	0.0001148016
0.0000039498	0.0001162346
0.0000040498	0.0001176460
0.0000041498	0.0001189628
0.0000042499	0.0001203285
0.0000043498	0.0001216451
0.0000044498	0.0001231860
0.0000045498	0.0001248285
0.0000046498	0.0001262559
0.0000047499	0.0001274241
0.0000048499	0.0001284878
0.0000049498	0.0001295905
0.0000050498	0.0001306252
0.0000051498	0.0001315737
0.0000052497	0.0001324845
0.0000053498	0.0001333902
0.0000054498	0.0001343213
0.0000055499	0.0001352425
0.0000056500	0.0001361015
0.0000057499	0.0001368268
0.0000058498	0.0001376537
0.0000059497	0.0001385908
