# wavelength (um)	eclipse depth
0.0000006487	0.0000037272
0.0000007489	0.0000070303
0.0000008490	0.0000113798
0.0000009491	0.0000161841
0.0000010492	0.0000210555
0.0000011493	0.0000257752
0.0000012494	0.0000295476
0.0000013494	0.0000325299
0.0000014495	0.0000355657
0.0000015495	0.0000378209
0.0000016495	0.0000401271
0.0000017495	0.0000445267
0.0000018495	0.0000495393
0.0000019495	0.0000542219
0.0000020496	0.0000584151
0.0000021496	0.0000628873
0.0000022496	0.0000672145
0.0000023496	0.0000729433
0.0000024497	0.0000779149
0.0000025496	0.0000816537
0.0000026496	0.0000846802
0.0000027497	0.0000882134
0.0000028497	0.0000915670
0.0000029497	0.0000949319
0.0000030497	0.0000982391
0.0000031497	0.0001013189
0.0000032497	0.0001039516
0.0000033498	0.0001070946
0.0000034498	0.0001092636
0.0000035498	0.0001122073
0.0000036498	0.0001150439
0.0000037498	0.0001175044
0.0000038498	0.0001198745
0.0000039498	0.0001221301
0.0000040498	0.0001250951
0.0000041498	0.0001270924
0.0000042499	0.0001296155
0.0000043498	0.0001360040
0.0000044498	0.0001421313
0.0000045498	0.0001450616
0.0000046498	0.0001469812
0.0000047499	0.0001477796
0.0000048499	0.0001489364
0.0000049498	0.0001506806
0.0000050498	0.0001520975
0.0000051498	0.0001533547
0.0000052497	0.0001567153
0.0000053498	0.0001573001
0.0000054498	0.0001581942
0.0000055499	0.0001612221
0.0000056500	0.0001587041
0.0000057499	0.0001606666
0.0000058498	0.0001609941
0.0000059497	0.0001625444
