# wavelength (um)	eclipse depth
0.0000006487	0.0000026909
0.0000007489	0.0000045883
0.0000008490	0.0000069689
0.0000009491	0.0000098208
0.0000010492	0.0000130024
0.0000011493	0.0000164570
0.0000012494	0.0000199091
0.0000013494	0.0000234231
0.0000014495	0.0000268584
0.0000015495	0.0000302703
0.0000016495	0.0000338193
0.0000017495	0.0000374334
0.0000018495	0.0000411557
0.0000019495	0.0000456115
0.0000020496	0.0000481250
0.0000021496	0.0000514002
0.0000022496	0.0000545010
0.0000023496	0.0000579728
0.0000024497	0.0000619494
0.0000025496	0.0000659909
0.0000026496	0.0000720140
0.0000027497	0.0000883345
0.0000028497	0.0000934647
0.0000029497	0.0000970755
0.0000030497	0.0000993984
0.0000031497	0.0001007844
0.0000032497	0.0001015757
0.0000033498	0.0001016196
0.0000034498	0.0001014438
0.0000035498	0.0001021076
0.0000036498	0.0001040490
0.0000037498	0.0001077623
0.0000038498	0.0001100943
0.0000039498	0.0001125410
0.0000040498	0.0001152658
0.0000041498	0.0001184186
0.0000042499	0.0001215761
0.0000043498	0.0001244867
0.0000044498	0.0001272890
0.0000045498	0.0001286138
0.0000046498	0.0001303357
0.0000047499	0.0001318783
0.0000048499	0.0001334185
0.0000049498	0.0001349961
0.0000050498	0.0001362526
0.0000051498	0.0001374124
0.0000052497	0.0001385344
0.0000053498	0.0001396688
0.0000054498	0.0001406754
0.0000055499	0.0001417486
0.0000056500	0.0001427942
0.0000057499	0.0001437437
0.0000058498	0.0001446247
0.0000059497	0.0001455486
