# wavelength (um)	eclipse depth
0.0000006487	0.0000019442
0.0000007489	0.0000034163
0.0000008490	0.0000053205
0.0000009491	0.0000076239
0.0000010492	0.0000098864
0.0000011493	0.0000120106
0.0000012494	0.0000142780
0.0000013494	0.0000165528
0.0000014495	0.0000187665
0.0000015495	0.0000209172
0.0000016495	0.0000230138
0.0000017495	0.0000250497
0.0000018495	0.0000270102
0.0000019495	0.0000288708
0.0000020496	0.0000306017
0.0000021496	0.0000322137
0.0000022496	0.0000337599
0.0000023496	0.0000355139
0.0000024497	0.0000371731
0.0000025496	0.0000386984
0.0000026496	0.0000401695
0.0000027497	0.0000419971
0.0000028497	0.0000435064
0.0000029497	0.0000447106
0.0000030497	0.0000457571
0.0000031497	0.0000467446
0.0000032497	0.0000476331
0.0000033498	0.0000485016
0.0000034498	0.0000493222
0.0000035498	0.0000501058
0.0000036498	0.0000508755
0.0000037498	0.0000516194
0.0000038498	0.0000523523
0.0000039498	0.0000530644
0.0000040498	0.0000537549
0.0000041498	0.0000544300
0.0000042499	0.0000551288
0.0000043498	0.0000558632
0.0000044498	0.0000565953
0.0000045498	0.0000573850
0.0000046498	0.0000582851
0.0000047499	0.0000591671
0.0000048499	0.0000599681
0.0000049498	0.0000607797
0.0000050498	0.0000616648
0.0000051498	0.0000625873
0.0000052497	0.0000635024
0.0000053498	0.0000642965
0.0000054498	0.0000650252
0.0000055499	0.0000656508
0.0000056500	0.0000662892
0.0000057499	0.0000668850
0.0000058498	0.0000675758
0.0000059497	0.0000682995
