# wavelength (um)	eclipse depth
0.0000006487	0.0000007205
0.0000007489	0.0000011000
0.0000008490	0.0000016052
0.0000009491	0.0000024539
0.0000010492	0.0000033239
0.0000011493	0.0000041405
0.0000012494	0.0000045701
0.0000013494	0.0000061586
0.0000014495	0.0000074940
0.0000015495	0.0000058466
0.0000016495	0.0000057655
0.0000017495	0.0000069994
0.0000018495	0.0000110556
0.0000019495	0.0000179436
0.0000020496	0.0000143275
0.0000021496	0.0000149273
0.0000022496	0.0000196940
0.0000023496	0.0000258073
0.0000024497	0.0000277209
0.0000025496	0.0000305998
0.0000026496	0.0000346674
0.0000027497	0.0000468947
0.0000028497	0.0000476703
0.0000029497	0.0000484248
0.0000030497	0.0000477176
0.0000031497	0.0000469708
0.0000032497	0.0000458827
0.0000033498	0.0000454432
0.0000034498	0.0000448409
0.0000035498	0.0000433540
0.0000036498	0.0000429080
0.0000037498	0.0000430695
0.0000038498	0.0000432764
0.0000039498	0.0000434797
0.0000040498	0.0000440007
0.0000041498	0.0000448058
0.0000042499	0.0000457923
0.0000043498	0.0000467930
0.0000044498	0.0000479773
0.0000045498	0.0000494427
0.0000046498	0.0000511977
0.0000047499	0.0000532403
0.0000048499	0.0000549368
0.0000049498	0.0000563220
0.0000050498	0.0000574461
0.0000051498	0.0000583102
0.0000052497	0.0000599357
0.0000053498	0.0000617820
0.0000054498	0.0000629541
0.0000055499	0.0000642069
0.0000056500	0.0000655896
0.0000057499	0.0000670375
0.0000058498	0.0000681311
0.0000059497	0.0000694549
