# wavelength (um)	eclipse depth
0.0000006487	0.0000021101
0.0000007489	0.0000037052
0.0000008490	0.0000057485
0.0000009491	0.0000080942
0.0000010492	0.0000104122
0.0000011493	0.0000126623
0.0000012494	0.0000150428
0.0000013494	0.0000175018
0.0000014495	0.0000198808
0.0000015495	0.0000221616
0.0000016495	0.0000243336
0.0000017495	0.0000264002
0.0000018495	0.0000283703
0.0000019495	0.0000302190
0.0000020496	0.0000318789
0.0000021496	0.0000334641
0.0000022496	0.0000349375
0.0000023496	0.0000364946
0.0000024497	0.0000379461
0.0000025496	0.0000392983
0.0000026496	0.0000406434
0.0000027497	0.0000430528
0.0000028497	0.0000449014
0.0000029497	0.0000461527
0.0000030497	0.0000470515
0.0000031497	0.0000477953
0.0000032497	0.0000483826
0.0000033498	0.0000489777
0.0000034498	0.0000495557
0.0000035498	0.0000500340
0.0000036498	0.0000505586
0.0000037498	0.0000510878
0.0000038498	0.0000516699
0.0000039498	0.0000522989
0.0000040498	0.0000528871
0.0000041498	0.0000534913
0.0000042499	0.0000541524
0.0000043498	0.0000548802
0.0000044498	0.0000558307
0.0000045498	0.0000570646
0.0000046498	0.0000581142
0.0000047499	0.0000588380
0.0000048499	0.0000594024
0.0000049498	0.0000599985
0.0000050498	0.0000604872
0.0000051498	0.0000609210
0.0000052497	0.0000614172
0.0000053498	0.0000618532
0.0000054498	0.0000622395
0.0000055499	0.0000626811
0.0000056500	0.0000631726
0.0000057499	0.0000637859
0.0000058498	0.0000646255
0.0000059497	0.0000655960
