# wavelength (um)	eclipse depth
0.0000006487	0.0000009836
0.0000007489	0.0000015841
0.0000008490	0.0000023078
0.0000009491	0.0000033786
0.0000010492	0.0000047632
0.0000011493	0.0000061288
0.0000012494	0.0000075610
0.0000013494	0.0000086712
0.0000014495	0.0000092791
0.0000015495	0.0000096704
0.0000016495	0.0000102228
0.0000017495	0.0000108837
0.0000018495	0.0000115468
0.0000019495	0.0000122697
0.0000020496	0.0000129225
0.0000021496	0.0000135316
0.0000022496	0.0000139697
0.0000023496	0.0000144334
0.0000024497	0.0000146755
0.0000025496	0.0000149533
0.0000026496	0.0000154550
0.0000027497	0.0000171561
0.0000028497	0.0000196691
0.0000029497	0.0000212536
0.0000030497	0.0000214734
0.0000031497	0.0000210849
0.0000032497	0.0000207687
0.0000033498	0.0000214796
0.0000034498	0.0000229243
0.0000035498	0.0000217866
0.0000036498	0.0000217380
0.0000037498	0.0000220130
0.0000038498	0.0000225351
0.0000039498	0.0000233685
0.0000040498	0.0000243427
0.0000041498	0.0000255132
0.0000042499	0.0000278513
0.0000043498	0.0000328700
0.0000044498	0.0000348437
0.0000045498	0.0000372202
0.0000046498	0.0000426367
0.0000047499	0.0000462962
0.0000048499	0.0000490106
0.0000049498	0.0000521140
0.0000050498	0.0000551373
0.0000051498	0.0000574736
0.0000052497	0.0000596289
0.0000053498	0.0000614814
0.0000054498	0.0000627906
0.0000055499	0.0000628254
0.0000056500	0.0000633531
0.0000057499	0.0000645668
0.0000058498	0.0000660107
0.0000059497	0.0000673805
