# wavelength (um)	eclipse depth
0.0000006487	0.0000009692
0.0000007489	0.0000016966
0.0000008490	0.0000025501
0.0000009491	0.0000035541
0.0000010492	0.0000046198
0.0000011493	0.0000057510
0.0000012494	0.0000067755
0.0000013494	0.0000075962
0.0000014495	0.0000082065
0.0000015495	0.0000086517
0.0000016495	0.0000090072
0.0000017495	0.0000092231
0.0000018495	0.0000094472
0.0000019495	0.0000096075
0.0000020496	0.0000095590
0.0000021496	0.0000095265
0.0000022496	0.0000099226
0.0000023496	0.0000109504
0.0000024497	0.0000120436
0.0000025496	0.0000132425
0.0000026496	0.0000148157
0.0000027497	0.0000209631
0.0000028497	0.0000242809
0.0000029497	0.0000261696
0.0000030497	0.0000262728
0.0000031497	0.0000254867
0.0000032497	0.0000243573
0.0000033498	0.0000241296
0.0000034498	0.0000244096
0.0000035498	0.0000236950
0.0000036498	0.0000242149
0.0000037498	0.0000254129
0.0000038498	0.0000258726
0.0000039498	0.0000265902
0.0000040498	0.0000275956
0.0000041498	0.0000294379
0.0000042499	0.0000315532
0.0000043498	0.0000341232
0.0000044498	0.0000376768
0.0000045498	0.0000384958
0.0000046498	0.0000414168
0.0000047499	0.0000433411
0.0000048499	0.0000456557
0.0000049498	0.0000473088
0.0000050498	0.0000490621
0.0000051498	0.0000519903
0.0000052497	0.0000549656
0.0000053498	0.0000571150
0.0000054498	0.0000589097
0.0000055499	0.0000604940
0.0000056500	0.0000617089
0.0000057499	0.0000624254
0.0000058498	0.0000632216
0.0000059497	0.0000641546
