# wavelength (um)	eclipse depth
0.0000006487	0.0000016237
0.0000007489	0.0000028508
0.0000008490	0.0000044508
0.0000009491	0.0000064117
0.0000010492	0.0000083226
0.0000011493	0.0000100871
0.0000012494	0.0000122033
0.0000013494	0.0000141368
0.0000014495	0.0000183492
0.0000015495	0.0000225513
0.0000016495	0.0000238033
0.0000017495	0.0000243218
0.0000018495	0.0000261503
0.0000019495	0.0000318045
0.0000020496	0.0000341194
0.0000021496	0.0000332282
0.0000022496	0.0000327707
0.0000023496	0.0000364834
0.0000024497	0.0000392090
0.0000025496	0.0000408054
0.0000026496	0.0000437118
0.0000027497	0.0000462498
0.0000028497	0.0000484278
0.0000029497	0.0000498368
0.0000030497	0.0000504695
0.0000031497	0.0000514829
0.0000032497	0.0000526481
0.0000033498	0.0000536617
0.0000034498	0.0000544890
0.0000035498	0.0000548704
0.0000036498	0.0000549465
0.0000037498	0.0000554336
0.0000038498	0.0000565009
0.0000039498	0.0000577380
0.0000040498	0.0000588470
0.0000041498	0.0000598122
0.0000042499	0.0000606646
0.0000043498	0.0000614280
0.0000044498	0.0000621480
0.0000045498	0.0000627901
0.0000046498	0.0000633511
0.0000047499	0.0000637178
0.0000048499	0.0000640949
0.0000049498	0.0000645359
0.0000050498	0.0000651574
0.0000051498	0.0000658824
0.0000052497	0.0000666557
0.0000053498	0.0000673748
0.0000054498	0.0000680678
0.0000055499	0.0000687144
0.0000056500	0.0000693574
0.0000057499	0.0000699083
0.0000058498	0.0000704386
0.0000059497	0.0000709644
