# wavelength (um)	eclipse depth
0.0000006487	0.0000023148
0.0000007489	0.0000040799
0.0000008490	0.0000062905
0.0000009491	0.0000088075
0.0000010492	0.0000114712
0.0000011493	0.0000141071
0.0000012494	0.0000165827
0.0000013494	0.0000188734
0.0000014495	0.0000209591
0.0000015495	0.0000229733
0.0000016495	0.0000250105
0.0000017495	0.0000270079
0.0000018495	0.0000289847
0.0000019495	0.0000308773
0.0000020496	0.0000326152
0.0000021496	0.0000341901
0.0000022496	0.0000357562
0.0000023496	0.0000377489
0.0000024497	0.0000395681
0.0000025496	0.0000412141
0.0000026496	0.0000426483
0.0000027497	0.0000444341
0.0000028497	0.0000476285
0.0000029497	0.0000505748
0.0000030497	0.0000521216
0.0000031497	0.0000531069
0.0000032497	0.0000538630
0.0000033498	0.0000544699
0.0000034498	0.0000549862
0.0000035498	0.0000555418
0.0000036498	0.0000561371
0.0000037498	0.0000567386
0.0000038498	0.0000573574
0.0000039498	0.0000578018
0.0000040498	0.0000582687
0.0000041498	0.0000588459
0.0000042499	0.0000594543
0.0000043498	0.0000600693
0.0000044498	0.0000606466
0.0000045498	0.0000612579
0.0000046498	0.0000617065
0.0000047499	0.0000621026
0.0000048499	0.0000625336
0.0000049498	0.0000628742
0.0000050498	0.0000631159
0.0000051498	0.0000633863
0.0000052497	0.0000637784
0.0000053498	0.0000643044
0.0000054498	0.0000649125
0.0000055499	0.0000656138
0.0000056500	0.0000663584
0.0000057499	0.0000671089
0.0000058498	0.0000677148
0.0000059497	0.0000683450
