# wavelength (um)	eclipse depth
0.0000006487	0.0000011687
0.0000007489	0.0000023183
0.0000008490	0.0000045454
0.0000009491	0.0000070938
0.0000010492	0.0000094221
0.0000011493	0.0000111897
0.0000012494	0.0000127466
0.0000013494	0.0000135653
0.0000014495	0.0000129889
0.0000015495	0.0000118432
0.0000016495	0.0000120105
0.0000017495	0.0000137056
0.0000018495	0.0000155951
0.0000019495	0.0000166959
0.0000020496	0.0000164757
0.0000021496	0.0000152116
0.0000022496	0.0000140425
0.0000023496	0.0000138033
0.0000024497	0.0000141768
0.0000025496	0.0000150564
0.0000026496	0.0000162114
0.0000027497	0.0000203912
0.0000028497	0.0000231201
0.0000029497	0.0000250020
0.0000030497	0.0000253035
0.0000031497	0.0000257681
0.0000032497	0.0000261587
0.0000033498	0.0000263755
0.0000034498	0.0000270125
0.0000035498	0.0000274006
0.0000036498	0.0000281714
0.0000037498	0.0000292245
0.0000038498	0.0000302908
0.0000039498	0.0000312983
0.0000040498	0.0000324229
0.0000041498	0.0000334805
0.0000042499	0.0000349888
0.0000043498	0.0000359686
0.0000044498	0.0000370932
0.0000045498	0.0000383867
0.0000046498	0.0000402401
0.0000047499	0.0000423160
0.0000048499	0.0000454543
0.0000049498	0.0000494898
0.0000050498	0.0000503439
0.0000051498	0.0000527972
0.0000052497	0.0000537836
0.0000053498	0.0000535426
0.0000054498	0.0000548111
0.0000055499	0.0000556016
0.0000056500	0.0000572224
0.0000057499	0.0000567782
0.0000058498	0.0000573730
0.0000059497	0.0000590250
