# wavelength (um)	eclipse depth
0.0000006487	0.0000022431
0.0000007489	0.0000039907
0.0000008490	0.0000061798
0.0000009491	0.0000087187
0.0000010492	0.0000114446
0.0000011493	0.0000142118
0.0000012494	0.0000170248
0.0000013494	0.0000197937
0.0000014495	0.0000224750
0.0000015495	0.0000250182
0.0000016495	0.0000275353
0.0000017495	0.0000299264
0.0000018495	0.0000322270
0.0000019495	0.0000343898
0.0000020496	0.0000364392
0.0000021496	0.0000383920
0.0000022496	0.0000402290
0.0000023496	0.0000419876
0.0000024497	0.0000436520
0.0000025496	0.0000452250
0.0000026496	0.0000467151
0.0000027497	0.0000483831
0.0000028497	0.0000496963
0.0000029497	0.0000509825
0.0000030497	0.0000522125
0.0000031497	0.0000533112
0.0000032497	0.0000543602
0.0000033498	0.0000553557
0.0000034498	0.0000562827
0.0000035498	0.0000572474
0.0000036498	0.0000581568
0.0000037498	0.0000590338
0.0000038498	0.0000598824
0.0000039498	0.0000607017
0.0000040498	0.0000614675
0.0000041498	0.0000622357
0.0000042499	0.0000629474
0.0000043498	0.0000636446
0.0000044498	0.0000643088
0.0000045498	0.0000649670
0.0000046498	0.0000656151
0.0000047499	0.0000662341
0.0000048499	0.0000668143
0.0000049498	0.0000673976
0.0000050498	0.0000679099
0.0000051498	0.0000684396
0.0000052497	0.0000689286
0.0000053498	0.0000694061
0.0000054498	0.0000698760
0.0000055499	0.0000703419
0.0000056500	0.0000707779
0.0000057499	0.0000711877
0.0000058498	0.0000716171
0.0000059497	0.0000720041
