# wavelength (um)	eclipse depth
0.0000006487	0.0000019887
0.0000007489	0.0000036663
0.0000008490	0.0000059168
0.0000009491	0.0000083464
0.0000010492	0.0000107569
0.0000011493	0.0000128701
0.0000012494	0.0000149893
0.0000013494	0.0000167863
0.0000014495	0.0000186622
0.0000015495	0.0000204038
0.0000016495	0.0000222523
0.0000017495	0.0000245972
0.0000018495	0.0000273039
0.0000019495	0.0000294782
0.0000020496	0.0000314843
0.0000021496	0.0000338021
0.0000022496	0.0000355643
0.0000023496	0.0000375365
0.0000024497	0.0000397390
0.0000025496	0.0000417341
0.0000026496	0.0000437687
0.0000027497	0.0000462390
0.0000028497	0.0000482643
0.0000029497	0.0000499187
0.0000030497	0.0000517049
0.0000031497	0.0000531157
0.0000032497	0.0000544156
0.0000033498	0.0000557451
0.0000034498	0.0000567149
0.0000035498	0.0000580696
0.0000036498	0.0000594594
0.0000037498	0.0000608797
0.0000038498	0.0000619322
0.0000039498	0.0000630640
0.0000040498	0.0000647617
0.0000041498	0.0000655679
0.0000042499	0.0000666636
0.0000043498	0.0000689499
0.0000044498	0.0000709457
0.0000045498	0.0000720341
0.0000046498	0.0000732477
0.0000047499	0.0000735942
0.0000048499	0.0000744045
0.0000049498	0.0000751481
0.0000050498	0.0000759184
0.0000051498	0.0000767482
0.0000052497	0.0000782876
0.0000053498	0.0000788472
0.0000054498	0.0000794977
0.0000055499	0.0000808959
0.0000056500	0.0000800713
0.0000057499	0.0000809029
0.0000058498	0.0000812732
0.0000059497	0.0000821169
