# wavelength (um)	eclipse depth
0.0000006487	0.0000022034
0.0000007489	0.0000039278
0.0000008490	0.0000060923
0.0000009491	0.0000086007
0.0000010492	0.0000113018
0.0000011493	0.0000140663
0.0000012494	0.0000168614
0.0000013494	0.0000196247
0.0000014495	0.0000223093
0.0000015495	0.0000248132
0.0000016495	0.0000273043
0.0000017495	0.0000296742
0.0000018495	0.0000319375
0.0000019495	0.0000340777
0.0000020496	0.0000361212
0.0000021496	0.0000380583
0.0000022496	0.0000399040
0.0000023496	0.0000416583
0.0000024497	0.0000432982
0.0000025496	0.0000448627
0.0000026496	0.0000463523
0.0000027497	0.0000480191
0.0000028497	0.0000493388
0.0000029497	0.0000506184
0.0000030497	0.0000518108
0.0000031497	0.0000528964
0.0000032497	0.0000539312
0.0000033498	0.0000549074
0.0000034498	0.0000558377
0.0000035498	0.0000567891
0.0000036498	0.0000577006
0.0000037498	0.0000585819
0.0000038498	0.0000594310
0.0000039498	0.0000602546
0.0000040498	0.0000610240
0.0000041498	0.0000617662
0.0000042499	0.0000624933
0.0000043498	0.0000631988
0.0000044498	0.0000638641
0.0000045498	0.0000645255
0.0000046498	0.0000651940
0.0000047499	0.0000658163
0.0000048499	0.0000664333
0.0000049498	0.0000670292
0.0000050498	0.0000675836
0.0000051498	0.0000680970
0.0000052497	0.0000685659
0.0000053498	0.0000690716
0.0000054498	0.0000695137
0.0000055499	0.0000699459
0.0000056500	0.0000703972
0.0000057499	0.0000708282
0.0000058498	0.0000712751
0.0000059497	0.0000716787
