# wavelength (um)	eclipse depth
0.0000006487	0.0000021487
0.0000007489	0.0000039096
0.0000008490	0.0000061721
0.0000009491	0.0000086438
0.0000010492	0.0000112098
0.0000011493	0.0000135266
0.0000012494	0.0000157452
0.0000013494	0.0000175702
0.0000014495	0.0000194399
0.0000015495	0.0000211418
0.0000016495	0.0000228331
0.0000017495	0.0000252109
0.0000018495	0.0000278766
0.0000019495	0.0000300497
0.0000020496	0.0000321125
0.0000021496	0.0000345169
0.0000022496	0.0000364320
0.0000023496	0.0000384970
0.0000024497	0.0000407681
0.0000025496	0.0000428014
0.0000026496	0.0000447739
0.0000027497	0.0000462830
0.0000028497	0.0000480138
0.0000029497	0.0000496057
0.0000030497	0.0000513543
0.0000031497	0.0000526840
0.0000032497	0.0000540583
0.0000033498	0.0000554353
0.0000034498	0.0000565033
0.0000035498	0.0000578393
0.0000036498	0.0000591378
0.0000037498	0.0000604086
0.0000038498	0.0000612984
0.0000039498	0.0000622515
0.0000040498	0.0000637446
0.0000041498	0.0000643349
0.0000042499	0.0000652406
0.0000043498	0.0000672327
0.0000044498	0.0000690171
0.0000045498	0.0000699632
0.0000046498	0.0000710785
0.0000047499	0.0000714493
0.0000048499	0.0000723131
0.0000049498	0.0000731762
0.0000050498	0.0000740696
0.0000051498	0.0000749940
0.0000052497	0.0000765824
0.0000053498	0.0000772200
0.0000054498	0.0000778842
0.0000055499	0.0000792654
0.0000056500	0.0000784924
0.0000057499	0.0000793914
0.0000058498	0.0000798270
0.0000059497	0.0000807704
