# wavelength (um)	eclipse depth
0.0000006487	0.0000022418
0.0000007489	0.0000039861
0.0000008490	0.0000061754
0.0000009491	0.0000087120
0.0000010492	0.0000114209
0.0000011493	0.0000141952
0.0000012494	0.0000170193
0.0000013494	0.0000198087
0.0000014495	0.0000225187
0.0000015495	0.0000251537
0.0000016495	0.0000276939
0.0000017495	0.0000301049
0.0000018495	0.0000323773
0.0000019495	0.0000345438
0.0000020496	0.0000365847
0.0000021496	0.0000385343
0.0000022496	0.0000403656
0.0000023496	0.0000421035
0.0000024497	0.0000437603
0.0000025496	0.0000453470
0.0000026496	0.0000468578
0.0000027497	0.0000484638
0.0000028497	0.0000498370
0.0000029497	0.0000511331
0.0000030497	0.0000523626
0.0000031497	0.0000534603
0.0000032497	0.0000544803
0.0000033498	0.0000554331
0.0000034498	0.0000563500
0.0000035498	0.0000573046
0.0000036498	0.0000582103
0.0000037498	0.0000590804
0.0000038498	0.0000599150
0.0000039498	0.0000607298
0.0000040498	0.0000615039
0.0000041498	0.0000622525
0.0000042499	0.0000629780
0.0000043498	0.0000636529
0.0000044498	0.0000643419
0.0000045498	0.0000649595
0.0000046498	0.0000656019
0.0000047499	0.0000662044
0.0000048499	0.0000667767
0.0000049498	0.0000673512
0.0000050498	0.0000678863
0.0000051498	0.0000684160
0.0000052497	0.0000689295
0.0000053498	0.0000694419
0.0000054498	0.0000698892
0.0000055499	0.0000703654
0.0000056500	0.0000708118
0.0000057499	0.0000712153
0.0000058498	0.0000716422
0.0000059497	0.0000720393
