# wavelength (um)	eclipse depth
0.0000006487	0.0000022856
0.0000007489	0.0000040304
0.0000008490	0.0000062170
0.0000009491	0.0000087714
0.0000010492	0.0000114823
0.0000011493	0.0000142177
0.0000012494	0.0000170011
0.0000013494	0.0000197385
0.0000014495	0.0000223912
0.0000015495	0.0000249446
0.0000016495	0.0000274649
0.0000017495	0.0000298630
0.0000018495	0.0000321559
0.0000019495	0.0000343377
0.0000020496	0.0000363981
0.0000021496	0.0000383603
0.0000022496	0.0000401996
0.0000023496	0.0000419515
0.0000024497	0.0000435952
0.0000025496	0.0000451468
0.0000026496	0.0000466215
0.0000027497	0.0000481706
0.0000028497	0.0000495587
0.0000029497	0.0000508480
0.0000030497	0.0000520509
0.0000031497	0.0000531494
0.0000032497	0.0000541608
0.0000033498	0.0000551380
0.0000034498	0.0000560672
0.0000035498	0.0000570200
0.0000036498	0.0000579451
0.0000037498	0.0000587891
0.0000038498	0.0000596391
0.0000039498	0.0000604363
0.0000040498	0.0000612269
0.0000041498	0.0000619930
0.0000042499	0.0000627330
0.0000043498	0.0000634528
0.0000044498	0.0000641802
0.0000045498	0.0000648644
0.0000046498	0.0000655635
0.0000047499	0.0000662521
0.0000048499	0.0000668525
0.0000049498	0.0000674551
0.0000050498	0.0000680331
0.0000051498	0.0000685854
0.0000052497	0.0000691087
0.0000053498	0.0000695955
0.0000054498	0.0000700904
0.0000055499	0.0000705584
0.0000056500	0.0000710179
0.0000057499	0.0000714455
0.0000058498	0.0000718592
0.0000059497	0.0000722505
