# wavelength (um)	eclipse depth
0.0000006487	0.0000020992
0.0000007489	0.0000038599
0.0000008490	0.0000060985
0.0000009491	0.0000085132
0.0000010492	0.0000110518
0.0000011493	0.0000133905
0.0000012494	0.0000155128
0.0000013494	0.0000171917
0.0000014495	0.0000189450
0.0000015495	0.0000205178
0.0000016495	0.0000221604
0.0000017495	0.0000243169
0.0000018495	0.0000268536
0.0000019495	0.0000290613
0.0000020496	0.0000307923
0.0000021496	0.0000330196
0.0000022496	0.0000349876
0.0000023496	0.0000373672
0.0000024497	0.0000396316
0.0000025496	0.0000416778
0.0000026496	0.0000440564
0.0000027497	0.0000474020
0.0000028497	0.0000493284
0.0000029497	0.0000509843
0.0000030497	0.0000527926
0.0000031497	0.0000541379
0.0000032497	0.0000553449
0.0000033498	0.0000563858
0.0000034498	0.0000570305
0.0000035498	0.0000580724
0.0000036498	0.0000593240
0.0000037498	0.0000608769
0.0000038498	0.0000619102
0.0000039498	0.0000631468
0.0000040498	0.0000649642
0.0000041498	0.0000659764
0.0000042499	0.0000672589
0.0000043498	0.0000697248
0.0000044498	0.0000719301
0.0000045498	0.0000729876
0.0000046498	0.0000742053
0.0000047499	0.0000745227
0.0000048499	0.0000753346
0.0000049498	0.0000760989
0.0000050498	0.0000768370
0.0000051498	0.0000776346
0.0000052497	0.0000791912
0.0000053498	0.0000797673
0.0000054498	0.0000804066
0.0000055499	0.0000818064
0.0000056500	0.0000809352
0.0000057499	0.0000817848
0.0000058498	0.0000821064
0.0000059497	0.0000829638
