# wavelength (um)	eclipse depth
0.0000006487	0.0000018896
0.0000007489	0.0000037872
0.0000008490	0.0000063718
0.0000009491	0.0000090388
0.0000010492	0.0000118202
0.0000011493	0.0000142044
0.0000012494	0.0000163128
0.0000013494	0.0000176873
0.0000014495	0.0000181159
0.0000015495	0.0000178913
0.0000016495	0.0000175563
0.0000017495	0.0000181701
0.0000018495	0.0000195398
0.0000019495	0.0000207681
0.0000020496	0.0000220085
0.0000021496	0.0000235429
0.0000022496	0.0000247588
0.0000023496	0.0000261280
0.0000024497	0.0000276495
0.0000025496	0.0000290874
0.0000026496	0.0000307481
0.0000027497	0.0000330040
0.0000028497	0.0000354928
0.0000029497	0.0000373183
0.0000030497	0.0000390435
0.0000031497	0.0000404864
0.0000032497	0.0000420738
0.0000033498	0.0000444275
0.0000034498	0.0000462734
0.0000035498	0.0000487245
0.0000036498	0.0000513540
0.0000037498	0.0000539641
0.0000038498	0.0000559524
0.0000039498	0.0000577199
0.0000040498	0.0000600651
0.0000041498	0.0000613593
0.0000042499	0.0000635905
0.0000043498	0.0000661421
0.0000044498	0.0000683169
0.0000045498	0.0000698033
0.0000046498	0.0000713643
0.0000047499	0.0000720049
0.0000048499	0.0000734687
0.0000049498	0.0000749573
0.0000050498	0.0000757246
0.0000051498	0.0000767080
0.0000052497	0.0000783823
0.0000053498	0.0000789865
0.0000054498	0.0000797275
0.0000055499	0.0000811321
0.0000056500	0.0000803033
0.0000057499	0.0000811091
0.0000058498	0.0000814501
0.0000059497	0.0000822610
