# wavelength (um)	eclipse depth
0.0000006487	0.0000022949
0.0000007489	0.0000040446
0.0000008490	0.0000062352
0.0000009491	0.0000087032
0.0000010492	0.0000111962
0.0000011493	0.0000137037
0.0000012494	0.0000162936
0.0000013494	0.0000189339
0.0000014495	0.0000214996
0.0000015495	0.0000240185
0.0000016495	0.0000264072
0.0000017495	0.0000286803
0.0000018495	0.0000308129
0.0000019495	0.0000328246
0.0000020496	0.0000347699
0.0000021496	0.0000365665
0.0000022496	0.0000382810
0.0000023496	0.0000399290
0.0000024497	0.0000415059
0.0000025496	0.0000429850
0.0000026496	0.0000444697
0.0000027497	0.0000463836
0.0000028497	0.0000482962
0.0000029497	0.0000497803
0.0000030497	0.0000510828
0.0000031497	0.0000522426
0.0000032497	0.0000531003
0.0000033498	0.0000538342
0.0000034498	0.0000545145
0.0000035498	0.0000552786
0.0000036498	0.0000560303
0.0000037498	0.0000566585
0.0000038498	0.0000573116
0.0000039498	0.0000579886
0.0000040498	0.0000586563
0.0000041498	0.0000592782
0.0000042499	0.0000599257
0.0000043498	0.0000605499
0.0000044498	0.0000612869
0.0000045498	0.0000620752
0.0000046498	0.0000627574
0.0000047499	0.0000633117
0.0000048499	0.0000638149
0.0000049498	0.0000643384
0.0000050498	0.0000648289
0.0000051498	0.0000652773
0.0000052497	0.0000657078
0.0000053498	0.0000661365
0.0000054498	0.0000665784
0.0000055499	0.0000670160
0.0000056500	0.0000674234
0.0000057499	0.0000677651
0.0000058498	0.0000681576
0.0000059497	0.0000686052
