# wavelength (um)	eclipse depth
0.0000006487	0.0000021897
0.0000007489	0.0000038987
0.0000008490	0.0000060625
0.0000009491	0.0000085799
0.0000010492	0.0000112839
0.0000011493	0.0000140132
0.0000012494	0.0000167733
0.0000013494	0.0000194743
0.0000014495	0.0000220234
0.0000015495	0.0000245036
0.0000016495	0.0000269535
0.0000017495	0.0000292875
0.0000018495	0.0000315007
0.0000019495	0.0000336517
0.0000020496	0.0000356457
0.0000021496	0.0000375572
0.0000022496	0.0000393725
0.0000023496	0.0000410797
0.0000024497	0.0000427005
0.0000025496	0.0000442460
0.0000026496	0.0000457602
0.0000027497	0.0000476888
0.0000028497	0.0000490999
0.0000029497	0.0000503507
0.0000030497	0.0000515161
0.0000031497	0.0000525167
0.0000032497	0.0000534574
0.0000033498	0.0000543515
0.0000034498	0.0000551593
0.0000035498	0.0000560838
0.0000036498	0.0000569699
0.0000037498	0.0000578187
0.0000038498	0.0000586394
0.0000039498	0.0000594511
0.0000040498	0.0000602171
0.0000041498	0.0000609702
0.0000042499	0.0000616877
0.0000043498	0.0000624254
0.0000044498	0.0000630970
0.0000045498	0.0000637542
0.0000046498	0.0000644696
0.0000047499	0.0000651396
0.0000048499	0.0000657563
0.0000049498	0.0000664198
0.0000050498	0.0000669946
0.0000051498	0.0000675736
0.0000052497	0.0000681100
0.0000053498	0.0000686292
0.0000054498	0.0000691066
0.0000055499	0.0000695755
0.0000056500	0.0000700271
0.0000057499	0.0000704687
0.0000058498	0.0000709241
0.0000059497	0.0000713797
