# wavelength (um)	eclipse depth
0.0000006487	0.0000015293
0.0000007489	0.0000026392
0.0000008490	0.0000040213
0.0000009491	0.0000055364
0.0000010492	0.0000071666
0.0000011493	0.0000087320
0.0000012494	0.0000101569
0.0000013494	0.0000113546
0.0000014495	0.0000125703
0.0000015495	0.0000137430
0.0000016495	0.0000150193
0.0000017495	0.0000167682
0.0000018495	0.0000188826
0.0000019495	0.0000210560
0.0000020496	0.0000223317
0.0000021496	0.0000242705
0.0000022496	0.0000258442
0.0000023496	0.0000277848
0.0000024497	0.0000301901
0.0000025496	0.0000325349
0.0000026496	0.0000358819
0.0000027497	0.0000438901
0.0000028497	0.0000467365
0.0000029497	0.0000488053
0.0000030497	0.0000504742
0.0000031497	0.0000514528
0.0000032497	0.0000521924
0.0000033498	0.0000526161
0.0000034498	0.0000526403
0.0000035498	0.0000533164
0.0000036498	0.0000546890
0.0000037498	0.0000570503
0.0000038498	0.0000583282
0.0000039498	0.0000597842
0.0000040498	0.0000619498
0.0000041498	0.0000635292
0.0000042499	0.0000654042
0.0000043498	0.0000682963
0.0000044498	0.0000709491
0.0000045498	0.0000719035
0.0000046498	0.0000731891
0.0000047499	0.0000735931
0.0000048499	0.0000745186
0.0000049498	0.0000754385
0.0000050498	0.0000762231
0.0000051498	0.0000770513
0.0000052497	0.0000786145
0.0000053498	0.0000792230
0.0000054498	0.0000798706
0.0000055499	0.0000813040
0.0000056500	0.0000804872
0.0000057499	0.0000813765
0.0000058498	0.0000816994
0.0000059497	0.0000826202
