# wavelength (um)	eclipse depth
0.0000006487	0.0000113519
0.0000007489	0.0000175693
0.0000008490	0.0000249112
0.0000009491	0.0000332264
0.0000010492	0.0000407353
0.0000011493	0.0000473183
0.0000012494	0.0000542319
0.0000013494	0.0000609962
0.0000014495	0.0000674143
0.0000015495	0.0000735289
0.0000016495	0.0000794037
0.0000017495	0.0000850377
0.0000018495	0.0000903992
0.0000019495	0.0000954209
0.0000020496	0.0001000181
0.0000021496	0.0001042396
0.0000022496	0.0001082648
0.0000023496	0.0001129662
0.0000024497	0.0001173722
0.0000025496	0.0001213662
0.0000026496	0.0001252031
0.0000027497	0.0001301565
0.0000028497	0.0001341279
0.0000029497	0.0001371721
0.0000030497	0.0001397511
0.0000031497	0.0001421698
0.0000032497	0.0001443059
0.0000033498	0.0001464000
0.0000034498	0.0001483671
0.0000035498	0.0001502399
0.0000036498	0.0001520865
0.0000037498	0.0001538706
0.0000038498	0.0001556353
0.0000039498	0.0001573507
0.0000040498	0.0001590144
0.0000041498	0.0001606433
0.0000042499	0.0001623524
0.0000043498	0.0001641758
0.0000044498	0.0001660008
0.0000045498	0.0001680019
0.0000046498	0.0001703321
0.0000047499	0.0001726142
0.0000048499	0.0001746655
0.0000049498	0.0001767530
0.0000050498	0.0001790587
0.0000051498	0.0001814765
0.0000052497	0.0001838765
0.0000053498	0.0001859294
0.0000054498	0.0001877973
0.0000055499	0.0001893720
0.0000056500	0.0001909883
0.0000057499	0.0001924864
0.0000058498	0.0001942618
0.0000059497	0.0001961352
