# wavelength (um)	eclipse depth
0.0000006487	0.0000042049
0.0000007489	0.0000056546
0.0000008490	0.0000075165
0.0000009491	0.0000106956
0.0000010492	0.0000136967
0.0000011493	0.0000163119
0.0000012494	0.0000173574
0.0000013494	0.0000227110
0.0000014495	0.0000269087
0.0000015495	0.0000205494
0.0000016495	0.0000198923
0.0000017495	0.0000237641
0.0000018495	0.0000370170
0.0000019495	0.0000592967
0.0000020496	0.0000468249
0.0000021496	0.0000483010
0.0000022496	0.0000631669
0.0000023496	0.0000820887
0.0000024497	0.0000875288
0.0000025496	0.0000959678
0.0000026496	0.0001080600
0.0000027497	0.0001453344
0.0000028497	0.0001469643
0.0000029497	0.0001485665
0.0000030497	0.0001457381
0.0000031497	0.0001428566
0.0000032497	0.0001390024
0.0000033498	0.0001371679
0.0000034498	0.0001348861
0.0000035498	0.0001299943
0.0000036498	0.0001282684
0.0000037498	0.0001283844
0.0000038498	0.0001286538
0.0000039498	0.0001289294
0.0000040498	0.0001301601
0.0000041498	0.0001322388
0.0000042499	0.0001348570
0.0000043498	0.0001375197
0.0000044498	0.0001407234
0.0000045498	0.0001447499
0.0000046498	0.0001496199
0.0000047499	0.0001553234
0.0000048499	0.0001600112
0.0000049498	0.0001637897
0.0000050498	0.0001668086
0.0000051498	0.0001690749
0.0000052497	0.0001735491
0.0000053498	0.0001786583
0.0000054498	0.0001818159
0.0000055499	0.0001852071
0.0000056500	0.0001889726
0.0000057499	0.0001929252
0.0000058498	0.0001958581
0.0000059497	0.0001994530
