# wavelength (um)	eclipse depth
0.0000006487	0.0000123206
0.0000007489	0.0000190551
0.0000008490	0.0000269138
0.0000009491	0.0000352752
0.0000010492	0.0000429020
0.0000011493	0.0000498855
0.0000012494	0.0000571373
0.0000013494	0.0000644931
0.0000014495	0.0000714172
0.0000015495	0.0000779034
0.0000016495	0.0000839573
0.0000017495	0.0000896222
0.0000018495	0.0000949512
0.0000019495	0.0000998766
0.0000020496	0.0001041923
0.0000021496	0.0001082855
0.0000022496	0.0001120410
0.0000023496	0.0001160855
0.0000024497	0.0001198126
0.0000025496	0.0001232474
0.0000026496	0.0001266800
0.0000027497	0.0001334290
0.0000028497	0.0001384287
0.0000029497	0.0001415966
0.0000030497	0.0001437045
0.0000031497	0.0001453651
0.0000032497	0.0001465763
0.0000033498	0.0001478370
0.0000034498	0.0001490696
0.0000035498	0.0001500245
0.0000036498	0.0001511392
0.0000037498	0.0001522860
0.0000038498	0.0001536065
0.0000039498	0.0001550809
0.0000040498	0.0001564473
0.0000041498	0.0001578730
0.0000042499	0.0001594770
0.0000043498	0.0001612869
0.0000044498	0.0001637582
0.0000045498	0.0001670640
0.0000046498	0.0001698325
0.0000047499	0.0001716540
0.0000048499	0.0001730178
0.0000049498	0.0001744811
0.0000050498	0.0001756391
0.0000051498	0.0001766449
0.0000052497	0.0001778385
0.0000053498	0.0001788640
0.0000054498	0.0001797521
0.0000055499	0.0001808058
0.0000056500	0.0001820087
0.0000057499	0.0001835675
0.0000058498	0.0001857806
0.0000059497	0.0001883716
