# wavelength (um)	eclipse depth
0.0000006487	0.0000057416
0.0000007489	0.0000081444
0.0000008490	0.0000108045
0.0000009491	0.0000147269
0.0000010492	0.0000196283
0.0000011493	0.0000241473
0.0000012494	0.0000287196
0.0000013494	0.0000319518
0.0000014495	0.0000333311
0.0000015495	0.0000339924
0.0000016495	0.0000352708
0.0000017495	0.0000369472
0.0000018495	0.0000386454
0.0000019495	0.0000405524
0.0000020496	0.0000422356
0.0000021496	0.0000437866
0.0000022496	0.0000447993
0.0000023496	0.0000459109
0.0000024497	0.0000463367
0.0000025496	0.0000468964
0.0000026496	0.0000481711
0.0000027497	0.0000531708
0.0000028497	0.0000606398
0.0000029497	0.0000652061
0.0000030497	0.0000655836
0.0000031497	0.0000641275
0.0000032497	0.0000629192
0.0000033498	0.0000648359
0.0000034498	0.0000689584
0.0000035498	0.0000653256
0.0000036498	0.0000649834
0.0000037498	0.0000656180
0.0000038498	0.0000669935
0.0000039498	0.0000692943
0.0000040498	0.0000720092
0.0000041498	0.0000752993
0.0000042499	0.0000820220
0.0000043498	0.0000966020
0.0000044498	0.0001022005
0.0000045498	0.0001089676
0.0000046498	0.0001246020
0.0000047499	0.0001350649
0.0000048499	0.0001427506
0.0000049498	0.0001515528
0.0000050498	0.0001601047
0.0000051498	0.0001666491
0.0000052497	0.0001726606
0.0000053498	0.0001777891
0.0000054498	0.0001813436
0.0000055499	0.0001812221
0.0000056500	0.0001825289
0.0000057499	0.0001858150
0.0000058498	0.0001897627
0.0000059497	0.0001934960
