# wavelength (um)	eclipse depth
0.0000006487	0.0000056594
0.0000007489	0.0000087245
0.0000008490	0.0000119388
0.0000009491	0.0000154889
0.0000010492	0.0000190362
0.0000011493	0.0000226577
0.0000012494	0.0000257346
0.0000013494	0.0000279904
0.0000014495	0.0000294787
0.0000015495	0.0000304116
0.0000016495	0.0000310761
0.0000017495	0.0000313092
0.0000018495	0.0000316177
0.0000019495	0.0000317527
0.0000020496	0.0000312416
0.0000021496	0.0000308265
0.0000022496	0.0000318209
0.0000023496	0.0000348326
0.0000024497	0.0000380275
0.0000025496	0.0000415318
0.0000026496	0.0000461803
0.0000027497	0.0000649699
0.0000028497	0.0000748577
0.0000029497	0.0000802885
0.0000030497	0.0000802420
0.0000031497	0.0000775148
0.0000032497	0.0000737907
0.0000033498	0.0000728345
0.0000034498	0.0000734263
0.0000035498	0.0000710481
0.0000036498	0.0000723880
0.0000037498	0.0000757525
0.0000038498	0.0000769153
0.0000039498	0.0000788476
0.0000040498	0.0000816317
0.0000041498	0.0000868827
0.0000042499	0.0000929236
0.0000043498	0.0001002849
0.0000044498	0.0001105110
0.0000045498	0.0001127014
0.0000046498	0.0001210369
0.0000047499	0.0001264436
0.0000048499	0.0001329789
0.0000049498	0.0001375784
0.0000050498	0.0001424638
0.0000051498	0.0001507502
0.0000052497	0.0001591575
0.0000053498	0.0001651624
0.0000054498	0.0001701356
0.0000055499	0.0001744972
0.0000056500	0.0001777917
0.0000057499	0.0001796521
0.0000058498	0.0001817447
0.0000059497	0.0001842322
