# wavelength (um)	eclipse depth
0.0000006487	0.0000094808
0.0000007489	0.0000146611
0.0000008490	0.0000208392
0.0000009491	0.0000279436
0.0000010492	0.0000342918
0.0000011493	0.0000397407
0.0000012494	0.0000463524
0.0000013494	0.0000520932
0.0000014495	0.0000659312
0.0000015495	0.0000792712
0.0000016495	0.0000821256
0.0000017495	0.0000825646
0.0000018495	0.0000875244
0.0000019495	0.0001051205
0.0000020496	0.0001115140
0.0000021496	0.0001075183
0.0000022496	0.0001050932
0.0000023496	0.0001160515
0.0000024497	0.0001238005
0.0000025496	0.0001279740
0.0000026496	0.0001362448
0.0000027497	0.0001433364
0.0000028497	0.0001493007
0.0000029497	0.0001528991
0.0000030497	0.0001541433
0.0000031497	0.0001565811
0.0000032497	0.0001594991
0.0000033498	0.0001619756
0.0000034498	0.0001639095
0.0000035498	0.0001645259
0.0000036498	0.0001642561
0.0000037498	0.0001652405
0.0000038498	0.0001679685
0.0000039498	0.0001712094
0.0000040498	0.0001740776
0.0000041498	0.0001765283
0.0000042499	0.0001786551
0.0000043498	0.0001805304
0.0000044498	0.0001822875
0.0000045498	0.0001838259
0.0000046498	0.0001851366
0.0000047499	0.0001858903
0.0000048499	0.0001866853
0.0000049498	0.0001876763
0.0000050498	0.0001892001
0.0000051498	0.0001910308
0.0000052497	0.0001930070
0.0000053498	0.0001948310
0.0000054498	0.0001965848
0.0000055499	0.0001982091
0.0000056500	0.0001998280
0.0000057499	0.0002011869
0.0000058498	0.0002024915
0.0000059497	0.0002037880
