# wavelength (um)	eclipse depth
0.0000006487	0.0000135160
0.0000007489	0.0000209825
0.0000008490	0.0000294508
0.0000009491	0.0000383840
0.0000010492	0.0000472669
0.0000011493	0.0000555777
0.0000012494	0.0000629846
0.0000013494	0.0000695462
0.0000014495	0.0000752896
0.0000015495	0.0000807559
0.0000016495	0.0000862925
0.0000017495	0.0000916852
0.0000018495	0.0000970077
0.0000019495	0.0001020522
0.0000020496	0.0001065989
0.0000021496	0.0001106347
0.0000022496	0.0001146666
0.0000023496	0.0001200756
0.0000024497	0.0001249341
0.0000025496	0.0001292559
0.0000026496	0.0001329290
0.0000027497	0.0001377094
0.0000028497	0.0001468374
0.0000029497	0.0001551639
0.0000030497	0.0001591896
0.0000031497	0.0001615200
0.0000032497	0.0001631793
0.0000033498	0.0001644149
0.0000034498	0.0001654051
0.0000035498	0.0001665394
0.0000036498	0.0001678154
0.0000037498	0.0001691302
0.0000038498	0.0001705146
0.0000039498	0.0001713984
0.0000040498	0.0001723667
0.0000041498	0.0001736763
0.0000042499	0.0001750908
0.0000043498	0.0001765373
0.0000044498	0.0001778838
0.0000045498	0.0001793401
0.0000046498	0.0001803304
0.0000047499	0.0001811780
0.0000048499	0.0001821378
0.0000049498	0.0001828439
0.0000050498	0.0001832721
0.0000051498	0.0001837931
0.0000052497	0.0001846754
0.0000053498	0.0001859524
0.0000054498	0.0001874720
0.0000055499	0.0001892653
0.0000056500	0.0001911875
0.0000057499	0.0001931306
0.0000058498	0.0001946615
0.0000059497	0.0001962657
