# wavelength (um)	eclipse depth
0.0000006487	0.0000068261
0.0000007489	0.0000119315
0.0000008490	0.0000212908
0.0000009491	0.0000309184
0.0000010492	0.0000388230
0.0000011493	0.0000440816
0.0000012494	0.0000484126
0.0000013494	0.0000499812
0.0000014495	0.0000466517
0.0000015495	0.0000416268
0.0000016495	0.0000414395
0.0000017495	0.0000465291
0.0000018495	0.0000521954
0.0000019495	0.0000551808
0.0000020496	0.0000538467
0.0000021496	0.0000492204
0.0000022496	0.0000450317
0.0000023496	0.0000439065
0.0000024497	0.0000447625
0.0000025496	0.0000472201
0.0000026496	0.0000505296
0.0000027497	0.0000631979
0.0000028497	0.0000712786
0.0000029497	0.0000767068
0.0000030497	0.0000772817
0.0000031497	0.0000783716
0.0000032497	0.0000792481
0.0000033498	0.0000796134
0.0000034498	0.0000812570
0.0000035498	0.0000821594
0.0000036498	0.0000842155
0.0000037498	0.0000871147
0.0000038498	0.0000900502
0.0000039498	0.0000928085
0.0000040498	0.0000959114
0.0000041498	0.0000988137
0.0000042499	0.0001030412
0.0000043498	0.0001057078
0.0000044498	0.0001087990
0.0000045498	0.0001123821
0.0000046498	0.0001175977
0.0000047499	0.0001234531
0.0000048499	0.0001323925
0.0000049498	0.0001439211
0.0000050498	0.0001461856
0.0000051498	0.0001530897
0.0000052497	0.0001557346
0.0000053498	0.0001548318
0.0000054498	0.0001582983
0.0000055499	0.0001603849
0.0000056500	0.0001648655
0.0000057499	0.0001634001
0.0000058498	0.0001649316
0.0000059497	0.0001695017
