# wavelength (um)	eclipse depth
0.0000006487	0.0000145828
0.0000007489	0.0000223369
0.0000008490	0.0000318370
0.0000009491	0.0000409937
0.0000010492	0.0000494682
0.0000011493	0.0000566762
0.0000012494	0.0000608634
0.0000013494	0.0000633897
0.0000014495	0.0000648227
0.0000015495	0.0000640722
0.0000016495	0.0000637080
0.0000017495	0.0000692590
0.0000018495	0.0000763628
0.0000019495	0.0000841334
0.0000020496	0.0000886601
0.0000021496	0.0000945917
0.0000022496	0.0001011958
0.0000023496	0.0001117530
0.0000024497	0.0001203248
0.0000025496	0.0001271335
0.0000026496	0.0001283723
0.0000027497	0.0001304682
0.0000028497	0.0001345968
0.0000029497	0.0001392016
0.0000030497	0.0001431351
0.0000031497	0.0001473495
0.0000032497	0.0001505256
0.0000033498	0.0001548286
0.0000034498	0.0001572721
0.0000035498	0.0001612402
0.0000036498	0.0001644950
0.0000037498	0.0001675902
0.0000038498	0.0001709071
0.0000039498	0.0001738286
0.0000040498	0.0001769019
0.0000041498	0.0001800636
0.0000042499	0.0001836793
0.0000043498	0.0001981283
0.0000044498	0.0002125174
0.0000045498	0.0002183505
0.0000046498	0.0002183921
0.0000047499	0.0002175136
0.0000048499	0.0002178648
0.0000049498	0.0002197512
0.0000050498	0.0002212362
0.0000051498	0.0002217404
0.0000052497	0.0002250946
0.0000053498	0.0002243191
0.0000054498	0.0002245648
0.0000055499	0.0002274631
0.0000056500	0.0002229394
0.0000057499	0.0002242579
0.0000058498	0.0002238858
0.0000059497	0.0002247279
