# wavelength (um)	eclipse depth
0.0000006487	0.0000118954
0.0000007489	0.0000187065
0.0000008490	0.0000269211
0.0000009491	0.0000356552
0.0000010492	0.0000438801
0.0000011493	0.0000515886
0.0000012494	0.0000596902
0.0000013494	0.0000677046
0.0000014495	0.0000754761
0.0000015495	0.0000827378
0.0000016495	0.0000900592
0.0000017495	0.0000966548
0.0000018495	0.0001028452
0.0000019495	0.0001085809
0.0000020496	0.0001137166
0.0000021496	0.0001184371
0.0000022496	0.0001226511
0.0000023496	0.0001267398
0.0000024497	0.0001307021
0.0000025496	0.0001345069
0.0000026496	0.0001384668
0.0000027497	0.0001456304
0.0000028497	0.0001500294
0.0000029497	0.0001533784
0.0000030497	0.0001563850
0.0000031497	0.0001589411
0.0000032497	0.0001609788
0.0000033498	0.0001628941
0.0000034498	0.0001646464
0.0000035498	0.0001668473
0.0000036498	0.0001690698
0.0000037498	0.0001712474
0.0000038498	0.0001734879
0.0000039498	0.0001756213
0.0000040498	0.0001777193
0.0000041498	0.0001797403
0.0000042499	0.0001817419
0.0000043498	0.0001838490
0.0000044498	0.0001857400
0.0000045498	0.0001875840
0.0000046498	0.0001894798
0.0000047499	0.0001911649
0.0000048499	0.0001927070
0.0000049498	0.0001941561
0.0000050498	0.0001955708
0.0000051498	0.0001968982
0.0000052497	0.0001981233
0.0000053498	0.0001993023
0.0000054498	0.0002004390
0.0000055499	0.0002015926
0.0000056500	0.0002027550
0.0000057499	0.0002036852
0.0000058498	0.0002047829
0.0000059497	0.0002056436
