# wavelength (um)	eclipse depth
0.0000006487	0.0000128665
0.0000007489	0.0000202002
0.0000008490	0.0000285233
0.0000009491	0.0000374834
0.0000010492	0.0000465696
0.0000011493	0.0000554182
0.0000012494	0.0000640448
0.0000013494	0.0000723161
0.0000014495	0.0000801413
0.0000015495	0.0000872247
0.0000016495	0.0000942070
0.0000017495	0.0001007366
0.0000018495	0.0001068901
0.0000019495	0.0001126302
0.0000020496	0.0001180579
0.0000021496	0.0001231520
0.0000022496	0.0001279679
0.0000023496	0.0001325104
0.0000024497	0.0001367114
0.0000025496	0.0001406986
0.0000026496	0.0001444739
0.0000027497	0.0001488192
0.0000028497	0.0001521087
0.0000029497	0.0001552972
0.0000030497	0.0001582404
0.0000031497	0.0001608799
0.0000032497	0.0001633860
0.0000033498	0.0001657356
0.0000034498	0.0001679667
0.0000035498	0.0001702796
0.0000036498	0.0001724895
0.0000037498	0.0001746250
0.0000038498	0.0001766793
0.0000039498	0.0001786718
0.0000040498	0.0001805174
0.0000041498	0.0001822952
0.0000042499	0.0001840405
0.0000043498	0.0001857343
0.0000044498	0.0001873209
0.0000045498	0.0001889064
0.0000046498	0.0001905225
0.0000047499	0.0001920125
0.0000048499	0.0001934962
0.0000049498	0.0001949270
0.0000050498	0.0001962452
0.0000051498	0.0001974524
0.0000052497	0.0001985382
0.0000053498	0.0001997377
0.0000054498	0.0002007605
0.0000055499	0.0002017613
0.0000056500	0.0002028238
0.0000057499	0.0002038342
0.0000058498	0.0002048964
0.0000059497	0.0002058392
