# wavelength (um)	eclipse depth
0.0000006487	0.0000143081
0.0000007489	0.0000217088
0.0000008490	0.0000308996
0.0000009491	0.0000398374
0.0000010492	0.0000479685
0.0000011493	0.0000548836
0.0000012494	0.0000590136
0.0000013494	0.0000615886
0.0000014495	0.0000631243
0.0000015495	0.0000624586
0.0000016495	0.0000619682
0.0000017495	0.0000675365
0.0000018495	0.0000743402
0.0000019495	0.0000819310
0.0000020496	0.0000863434
0.0000021496	0.0000920867
0.0000022496	0.0000985550
0.0000023496	0.0001087613
0.0000024497	0.0001170582
0.0000025496	0.0001236486
0.0000026496	0.0001248827
0.0000027497	0.0001268326
0.0000028497	0.0001311178
0.0000029497	0.0001356437
0.0000030497	0.0001394167
0.0000031497	0.0001432672
0.0000032497	0.0001461711
0.0000033498	0.0001501029
0.0000034498	0.0001523736
0.0000035498	0.0001561040
0.0000036498	0.0001591034
0.0000037498	0.0001618285
0.0000038498	0.0001648504
0.0000039498	0.0001674172
0.0000040498	0.0001701878
0.0000041498	0.0001728872
0.0000042499	0.0001762326
0.0000043498	0.0001898931
0.0000044498	0.0002035779
0.0000045498	0.0002091576
0.0000046498	0.0002094121
0.0000047499	0.0002089158
0.0000048499	0.0002096747
0.0000049498	0.0002119736
0.0000050498	0.0002140733
0.0000051498	0.0002149824
0.0000052497	0.0002185756
0.0000053498	0.0002181542
0.0000054498	0.0002185156
0.0000055499	0.0002214381
0.0000056500	0.0002172942
0.0000057499	0.0002187969
0.0000058498	0.0002187308
0.0000059497	0.0002198349
