# wavelength (um)	eclipse depth
0.0000006487	0.0000145741
0.0000007489	0.0000223109
0.0000008490	0.0000318142
0.0000009491	0.0000409620
0.0000010492	0.0000493656
0.0000011493	0.0000566102
0.0000012494	0.0000608438
0.0000013494	0.0000634379
0.0000014495	0.0000649489
0.0000015495	0.0000644191
0.0000016495	0.0000640753
0.0000017495	0.0000696721
0.0000018495	0.0000767189
0.0000019495	0.0000845100
0.0000020496	0.0000890141
0.0000021496	0.0000949423
0.0000022496	0.0001015394
0.0000023496	0.0001120615
0.0000024497	0.0001206234
0.0000025496	0.0001274766
0.0000026496	0.0001287642
0.0000027497	0.0001306860
0.0000028497	0.0001349778
0.0000029497	0.0001396127
0.0000030497	0.0001435466
0.0000031497	0.0001477618
0.0000032497	0.0001508580
0.0000033498	0.0001550451
0.0000034498	0.0001574601
0.0000035498	0.0001614014
0.0000036498	0.0001646462
0.0000037498	0.0001677225
0.0000038498	0.0001710000
0.0000039498	0.0001739092
0.0000040498	0.0001770067
0.0000041498	0.0001801124
0.0000042499	0.0001837686
0.0000043498	0.0001981540
0.0000044498	0.0002126267
0.0000045498	0.0002183254
0.0000046498	0.0002183482
0.0000047499	0.0002174162
0.0000048499	0.0002177421
0.0000049498	0.0002196002
0.0000050498	0.0002211592
0.0000051498	0.0002216638
0.0000052497	0.0002250978
0.0000053498	0.0002244347
0.0000054498	0.0002246074
0.0000055499	0.0002275390
0.0000056500	0.0002230464
0.0000057499	0.0002243450
0.0000058498	0.0002239644
0.0000059497	0.0002248378
