# wavelength (um)	eclipse depth
0.0000006487	0.0000133456
0.0000007489	0.0000207277
0.0000008490	0.0000291073
0.0000009491	0.0000382271
0.0000010492	0.0000473130
0.0000011493	0.0000560144
0.0000012494	0.0000645754
0.0000013494	0.0000727354
0.0000014495	0.0000804354
0.0000015495	0.0000876866
0.0000016495	0.0000947613
0.0000017495	0.0001013780
0.0000018495	0.0001076212
0.0000019495	0.0001134895
0.0000020496	0.0001189628
0.0000021496	0.0001241293
0.0000022496	0.0001289162
0.0000023496	0.0001334431
0.0000024497	0.0001376493
0.0000025496	0.0001415897
0.0000026496	0.0001453128
0.0000027497	0.0001492889
0.0000028497	0.0001527868
0.0000029497	0.0001560017
0.0000030497	0.0001589737
0.0000031497	0.0001616494
0.0000032497	0.0001640818
0.0000033498	0.0001664316
0.0000034498	0.0001686569
0.0000035498	0.0001709719
0.0000036498	0.0001732205
0.0000037498	0.0001752426
0.0000038498	0.0001772978
0.0000039498	0.0001792106
0.0000040498	0.0001811174
0.0000041498	0.0001829647
0.0000042499	0.0001847465
0.0000043498	0.0001864809
0.0000044498	0.0001882481
0.0000045498	0.0001898987
0.0000046498	0.0001916023
0.0000047499	0.0001932837
0.0000048499	0.0001947171
0.0000049498	0.0001961655
0.0000050498	0.0001975504
0.0000051498	0.0001988683
0.0000052497	0.0002001099
0.0000053498	0.0002012528
0.0000054498	0.0002024260
0.0000055499	0.0002035282
0.0000056500	0.0002046121
0.0000057499	0.0002056107
0.0000058498	0.0002065755
0.0000059497	0.0002074812
