# wavelength (um)	eclipse depth
0.0000006487	0.0000139797
0.0000007489	0.0000214330
0.0000008490	0.0000305312
0.0000009491	0.0000392350
0.0000010492	0.0000472932
0.0000011493	0.0000543312
0.0000012494	0.0000581422
0.0000013494	0.0000602618
0.0000014495	0.0000615162
0.0000015495	0.0000606147
0.0000016495	0.0000601423
0.0000017495	0.0000651413
0.0000018495	0.0000716120
0.0000019495	0.0000792357
0.0000020496	0.0000827937
0.0000021496	0.0000880921
0.0000022496	0.0000946478
0.0000023496	0.0001055697
0.0000024497	0.0001137950
0.0000025496	0.0001204025
0.0000026496	0.0001228822
0.0000027497	0.0001298993
0.0000028497	0.0001347078
0.0000029497	0.0001394132
0.0000030497	0.0001433214
0.0000031497	0.0001472211
0.0000032497	0.0001496499
0.0000033498	0.0001526763
0.0000034498	0.0001537954
0.0000035498	0.0001567331
0.0000036498	0.0001596044
0.0000037498	0.0001630832
0.0000038498	0.0001664958
0.0000039498	0.0001698252
0.0000040498	0.0001734439
0.0000041498	0.0001772984
0.0000042499	0.0001816848
0.0000043498	0.0001969320
0.0000044498	0.0002121705
0.0000045498	0.0002181990
0.0000046498	0.0002186243
0.0000047499	0.0002179023
0.0000048499	0.0002184358
0.0000049498	0.0002204398
0.0000050498	0.0002220716
0.0000051498	0.0002225521
0.0000052497	0.0002260215
0.0000053498	0.0002253506
0.0000054498	0.0002255928
0.0000055499	0.0002285366
0.0000056500	0.0002240566
0.0000057499	0.0002253931
0.0000058498	0.0002249763
0.0000059497	0.0002258049
