# wavelength (um)	eclipse depth
0.0000006487	0.0000125851
0.0000007489	0.0000210373
0.0000008490	0.0000319013
0.0000009491	0.0000416586
0.0000010492	0.0000505809
0.0000011493	0.0000576330
0.0000012494	0.0000611398
0.0000013494	0.0000619964
0.0000014495	0.0000588194
0.0000015495	0.0000528520
0.0000016495	0.0000476447
0.0000017495	0.0000486740
0.0000018495	0.0000521076
0.0000019495	0.0000566242
0.0000020496	0.0000591759
0.0000021496	0.0000628094
0.0000022496	0.0000669769
0.0000023496	0.0000738167
0.0000024497	0.0000793905
0.0000025496	0.0000840303
0.0000026496	0.0000857627
0.0000027497	0.0000904443
0.0000028497	0.0000969254
0.0000029497	0.0001020447
0.0000030497	0.0001059955
0.0000031497	0.0001100977
0.0000032497	0.0001137659
0.0000033498	0.0001202973
0.0000034498	0.0001247870
0.0000035498	0.0001315043
0.0000036498	0.0001381625
0.0000037498	0.0001445648
0.0000038498	0.0001504733
0.0000039498	0.0001552304
0.0000040498	0.0001603641
0.0000041498	0.0001648911
0.0000042499	0.0001717755
0.0000043498	0.0001868127
0.0000044498	0.0002015127
0.0000045498	0.0002086794
0.0000046498	0.0002102542
0.0000047499	0.0002105406
0.0000048499	0.0002130257
0.0000049498	0.0002171330
0.0000050498	0.0002188563
0.0000051498	0.0002198958
0.0000052497	0.0002237127
0.0000053498	0.0002231449
0.0000054498	0.0002236872
0.0000055499	0.0002266530
0.0000056500	0.0002223073
0.0000057499	0.0002235309
0.0000058498	0.0002231780
0.0000059497	0.0002238921
