# wavelength (um)	eclipse depth
0.0000006487	0.0000134000
0.0000007489	0.0000208003
0.0000008490	0.0000291919
0.0000009491	0.0000379287
0.0000010492	0.0000461329
0.0000011493	0.0000539888
0.0000012494	0.0000618882
0.0000013494	0.0000697702
0.0000014495	0.0000772325
0.0000015495	0.0000844309
0.0000016495	0.0000911121
0.0000017495	0.0000973625
0.0000018495	0.0001031263
0.0000019495	0.0001084884
0.0000020496	0.0001136411
0.0000021496	0.0001183248
0.0000022496	0.0001227632
0.0000023496	0.0001270099
0.0000024497	0.0001310524
0.0000025496	0.0001348097
0.0000026496	0.0001386061
0.0000027497	0.0001437510
0.0000028497	0.0001488946
0.0000029497	0.0001527262
0.0000030497	0.0001560168
0.0000031497	0.0001588915
0.0000032497	0.0001608689
0.0000033498	0.0001624961
0.0000034498	0.0001639862
0.0000035498	0.0001657503
0.0000036498	0.0001674961
0.0000037498	0.0001688915
0.0000038498	0.0001703784
0.0000039498	0.0001719525
0.0000040498	0.0001735133
0.0000041498	0.0001749521
0.0000042499	0.0001764791
0.0000043498	0.0001779497
0.0000044498	0.0001797617
0.0000045498	0.0001817329
0.0000046498	0.0001834018
0.0000047499	0.0001847054
0.0000048499	0.0001858699
0.0000049498	0.0001871019
0.0000050498	0.0001882461
0.0000051498	0.0001892764
0.0000052497	0.0001902623
0.0000053498	0.0001912501
0.0000054498	0.0001922831
0.0000055499	0.0001933099
0.0000056500	0.0001942557
0.0000057499	0.0001950190
0.0000058498	0.0001959344
0.0000059497	0.0001970131
