# wavelength (um)	eclipse depth
0.0000006487	0.0000127863
0.0000007489	0.0000200512
0.0000008490	0.0000283842
0.0000009491	0.0000373928
0.0000010492	0.0000464956
0.0000011493	0.0000552090
0.0000012494	0.0000637100
0.0000013494	0.0000717615
0.0000014495	0.0000791138
0.0000015495	0.0000861363
0.0000016495	0.0000929969
0.0000017495	0.0000994238
0.0000018495	0.0001054284
0.0000019495	0.0001112223
0.0000020496	0.0001165039
0.0000021496	0.0001215306
0.0000022496	0.0001262635
0.0000023496	0.0001306699
0.0000024497	0.0001348244
0.0000025496	0.0001387646
0.0000026496	0.0001426286
0.0000027497	0.0001477957
0.0000028497	0.0001513723
0.0000029497	0.0001544761
0.0000030497	0.0001573403
0.0000031497	0.0001597251
0.0000032497	0.0001619508
0.0000033498	0.0001640577
0.0000034498	0.0001659259
0.0000035498	0.0001681647
0.0000036498	0.0001703051
0.0000037498	0.0001723499
0.0000038498	0.0001743260
0.0000039498	0.0001762893
0.0000040498	0.0001781304
0.0000041498	0.0001799459
0.0000042499	0.0001816682
0.0000043498	0.0001834613
0.0000044498	0.0001850709
0.0000045498	0.0001866484
0.0000046498	0.0001884056
0.0000047499	0.0001900383
0.0000048499	0.0001915245
0.0000049498	0.0001931550
0.0000050498	0.0001945349
0.0000051498	0.0001959345
0.0000052497	0.0001972182
0.0000053498	0.0001984586
0.0000054498	0.0001995849
0.0000055499	0.0002006930
0.0000056500	0.0002017575
0.0000057499	0.0002027997
0.0000058498	0.0002038872
0.0000059497	0.0002049804
