# wavelength (um)	eclipse depth
0.0000006487	0.0000091456
0.0000007489	0.0000134626
0.0000008490	0.0000182950
0.0000009491	0.0000236502
0.0000010492	0.0000292356
0.0000011493	0.0000350015
0.0000012494	0.0000404464
0.0000013494	0.0000457967
0.0000014495	0.0000508381
0.0000015495	0.0000557281
0.0000016495	0.0000607866
0.0000017495	0.0000658910
0.0000018495	0.0000711257
0.0000019495	0.0000775582
0.0000020496	0.0000806586
0.0000021496	0.0000850407
0.0000022496	0.0000891294
0.0000023496	0.0000938143
0.0000024497	0.0000992966
0.0000025496	0.0001048588
0.0000026496	0.0001135193
0.0000027497	0.0001382336
0.0000028497	0.0001452807
0.0000029497	0.0001499575
0.0000030497	0.0001526628
0.0000031497	0.0001539652
0.0000032497	0.0001544015
0.0000033498	0.0001537504
0.0000034498	0.0001528172
0.0000035498	0.0001531903
0.0000036498	0.0001555056
0.0000037498	0.0001604758
0.0000038498	0.0001633921
0.0000039498	0.0001664879
0.0000040498	0.0001700028
0.0000041498	0.0001741516
0.0000042499	0.0001783087
0.0000043498	0.0001821063
0.0000044498	0.0001857490
0.0000045498	0.0001872439
0.0000046498	0.0001893282
0.0000047499	0.0001911619
0.0000048499	0.0001930024
0.0000049498	0.0001949064
0.0000050498	0.0001963558
0.0000051498	0.0001976758
0.0000052497	0.0001989507
0.0000053498	0.0002002522
0.0000054498	0.0002013792
0.0000055499	0.0002026095
0.0000056500	0.0002038081
0.0000057499	0.0002048777
0.0000058498	0.0002058568
0.0000059497	0.0002069039
