# wavelength (um)	eclipse depth
0.0000006487	0.0000000010
0.0000007489	0.0000000051
0.0000008490	0.0000000201
0.0000009491	0.0000000664
0.0000010492	0.0000001696
0.0000011493	0.0000003588
0.0000012494	0.0000006210
0.0000013494	0.0000012728
0.0000014495	0.0000020592
0.0000015495	0.0000021764
0.0000016495	0.0000027856
0.0000017495	0.0000042674
0.0000018495	0.0000083508
0.0000019495	0.0000158463
0.0000020496	0.0000149359
0.0000021496	0.0000180310
0.0000022496	0.0000274041
0.0000023496	0.0000402136
0.0000024497	0.0000483137
0.0000025496	0.0000589665
0.0000026496	0.0000734810
0.0000027497	0.0001079850
0.0000028497	0.0001187764
0.0000029497	0.0001298077
0.0000030497	0.0001368946
0.0000031497	0.0001435044
0.0000032497	0.0001486953
0.0000033498	0.0001555984
0.0000034498	0.0001615975
0.0000035498	0.0001639418
0.0000036498	0.0001697698
0.0000037498	0.0001777961
0.0000038498	0.0001859268
0.0000039498	0.0001939770
0.0000040498	0.0002034082
0.0000041498	0.0002142123
0.0000042499	0.0002260088
0.0000043498	0.0002380120
0.0000044498	0.0002511149
0.0000045498	0.0002659151
0.0000046498	0.0002825607
0.0000047499	0.0003011618
0.0000048499	0.0003180962
0.0000049498	0.0003334876
0.0000050498	0.0003474639
0.0000051498	0.0003599541
0.0000052497	0.0003772760
0.0000053498	0.0003962179
0.0000054498	0.0004110078
0.0000055499	0.0004264386
0.0000056500	0.0004428492
0.0000057499	0.0004598142
0.0000058498	0.0004744424
0.0000059497	0.0004907648
