# wavelength (um)	eclipse depth
0.0000006487	0.0000000030
0.0000007489	0.0000000176
0.0000008490	0.0000000715
0.0000009491	0.0000002182
0.0000010492	0.0000005302
0.0000011493	0.0000010985
0.0000012494	0.0000020499
0.0000013494	0.0000035078
0.0000014495	0.0000055632
0.0000015495	0.0000082969
0.0000016495	0.0000117662
0.0000017495	0.0000160113
0.0000018495	0.0000210487
0.0000019495	0.0000268509
0.0000020496	0.0000333144
0.0000021496	0.0000404895
0.0000022496	0.0000482752
0.0000023496	0.0000569098
0.0000024497	0.0000660779
0.0000025496	0.0000757066
0.0000026496	0.0000859220
0.0000027497	0.0000991725
0.0000028497	0.0001119033
0.0000029497	0.0001237411
0.0000030497	0.0001350077
0.0000031497	0.0001460652
0.0000032497	0.0001568187
0.0000033498	0.0001677110
0.0000034498	0.0001786282
0.0000035498	0.0001892376
0.0000036498	0.0002000487
0.0000037498	0.0002109012
0.0000038498	0.0002219984
0.0000039498	0.0002333248
0.0000040498	0.0002444840
0.0000041498	0.0002557305
0.0000042499	0.0002672619
0.0000043498	0.0002791394
0.0000044498	0.0002922146
0.0000045498	0.0003068968
0.0000046498	0.0003207153
0.0000047499	0.0003327975
0.0000048499	0.0003439448
0.0000049498	0.0003552457
0.0000050498	0.0003658515
0.0000051498	0.0003760619
0.0000052497	0.0003865825
0.0000053498	0.0003966587
0.0000054498	0.0004063349
0.0000055499	0.0004162954
0.0000056500	0.0004265192
0.0000057499	0.0004375043
0.0000058498	0.0004500285
0.0000059497	0.0004634949
