# wavelength (um)	eclipse depth
0.0000006487	0.0000000014
0.0000007489	0.0000000075
0.0000008490	0.0000000287
0.0000009491	0.0000000917
0.0000010492	0.0000002436
0.0000011493	0.0000005332
0.0000012494	0.0000010309
0.0000013494	0.0000017355
0.0000014495	0.0000025902
0.0000015495	0.0000036142
0.0000016495	0.0000049400
0.0000017495	0.0000065994
0.0000018495	0.0000085652
0.0000019495	0.0000109023
0.0000020496	0.0000135046
0.0000021496	0.0000163710
0.0000022496	0.0000192997
0.0000023496	0.0000225047
0.0000024497	0.0000255479
0.0000025496	0.0000288058
0.0000026496	0.0000326753
0.0000027497	0.0000395489
0.0000028497	0.0000490515
0.0000029497	0.0000569906
0.0000030497	0.0000616026
0.0000031497	0.0000644221
0.0000032497	0.0000673093
0.0000033498	0.0000735874
0.0000034498	0.0000826014
0.0000035498	0.0000823777
0.0000036498	0.0000860148
0.0000037498	0.0000908750
0.0000038498	0.0000968298
0.0000039498	0.0001042665
0.0000040498	0.0001125431
0.0000041498	0.0001219904
0.0000042499	0.0001375168
0.0000043498	0.0001672430
0.0000044498	0.0001823617
0.0000045498	0.0002002290
0.0000046498	0.0002353603
0.0000047499	0.0002618979
0.0000048499	0.0002838128
0.0000049498	0.0003085926
0.0000050498	0.0003335260
0.0000051498	0.0003548069
0.0000052497	0.0003753467
0.0000053498	0.0003942888
0.0000054498	0.0004099354
0.0000055499	0.0004172469
0.0000056500	0.0004277448
0.0000057499	0.0004428673
0.0000058498	0.0004596804
0.0000059497	0.0004761056
