# wavelength (um)	eclipse depth
0.0000006487	0.0000000014
0.0000007489	0.0000000080
0.0000008490	0.0000000317
0.0000009491	0.0000000958
0.0000010492	0.0000002356
0.0000011493	0.0000004992
0.0000012494	0.0000009221
0.0000013494	0.0000015200
0.0000014495	0.0000022920
0.0000015495	0.0000032335
0.0000016495	0.0000043494
0.0000017495	0.0000055868
0.0000018495	0.0000070028
0.0000019495	0.0000085272
0.0000020496	0.0000099806
0.0000021496	0.0000115236
0.0000022496	0.0000137144
0.0000023496	0.0000170897
0.0000024497	0.0000209868
0.0000025496	0.0000255269
0.0000026496	0.0000313789
0.0000027497	0.0000483279
0.0000028497	0.0000605535
0.0000029497	0.0000701681
0.0000030497	0.0000753699
0.0000031497	0.0000778557
0.0000032497	0.0000789254
0.0000033498	0.0000826399
0.0000034498	0.0000879570
0.0000035498	0.0000896121
0.0000036498	0.0000958275
0.0000037498	0.0001049099
0.0000038498	0.0001111680
0.0000039498	0.0001186471
0.0000040498	0.0001275775
0.0000041498	0.0001407671
0.0000042499	0.0001557531
0.0000043498	0.0001736130
0.0000044498	0.0001972260
0.0000045498	0.0002070258
0.0000046498	0.0002286214
0.0000047499	0.0002451617
0.0000048499	0.0002643801
0.0000049498	0.0002801169
0.0000050498	0.0002967791
0.0000051498	0.0003209687
0.0000052497	0.0003460007
0.0000053498	0.0003662919
0.0000054498	0.0003846116
0.0000055499	0.0004017828
0.0000056500	0.0004166411
0.0000057499	0.0004281722
0.0000058498	0.0004402527
0.0000059497	0.0004533128
