# wavelength (um)	eclipse depth
0.0000006487	0.0000000023
0.0000007489	0.0000000136
0.0000008490	0.0000000555
0.0000009491	0.0000001731
0.0000010492	0.0000004236
0.0000011493	0.0000008755
0.0000012494	0.0000016635
0.0000013494	0.0000028330
0.0000014495	0.0000051849
0.0000015495	0.0000084341
0.0000016495	0.0000114976
0.0000017495	0.0000147367
0.0000018495	0.0000194302
0.0000019495	0.0000283021
0.0000020496	0.0000356386
0.0000021496	0.0000401408
0.0000022496	0.0000452956
0.0000023496	0.0000569330
0.0000024497	0.0000682896
0.0000025496	0.0000786099
0.0000026496	0.0000924400
0.0000027497	0.0001065232
0.0000028497	0.0001207014
0.0000029497	0.0001336144
0.0000030497	0.0001448067
0.0000031497	0.0001573461
0.0000032497	0.0001706530
0.0000033498	0.0001837543
0.0000034498	0.0001964148
0.0000035498	0.0002075187
0.0000036498	0.0002174029
0.0000037498	0.0002288494
0.0000038498	0.0002427627
0.0000039498	0.0002575991
0.0000040498	0.0002720432
0.0000041498	0.0002859517
0.0000042499	0.0002994024
0.0000043498	0.0003124417
0.0000044498	0.0003252701
0.0000045498	0.0003376779
0.0000046498	0.0003496097
0.0000047499	0.0003603929
0.0000048499	0.0003711136
0.0000049498	0.0003821073
0.0000050498	0.0003941039
0.0000051498	0.0004066908
0.0000052497	0.0004195586
0.0000053498	0.0004320715
0.0000054498	0.0004443881
0.0000055499	0.0004563671
0.0000056500	0.0004682773
0.0000057499	0.0004794938
0.0000058498	0.0004905036
0.0000059497	0.0005014210
