# wavelength (um)	eclipse depth
0.0000006487	0.0000000033
0.0000007489	0.0000000194
0.0000008490	0.0000000782
0.0000009491	0.0000002375
0.0000010492	0.0000005847
0.0000011493	0.0000012240
0.0000012494	0.0000022575
0.0000013494	0.0000037795
0.0000014495	0.0000058605
0.0000015495	0.0000085974
0.0000016495	0.0000120926
0.0000017495	0.0000163787
0.0000018495	0.0000215038
0.0000019495	0.0000274363
0.0000020496	0.0000340846
0.0000021496	0.0000413659
0.0000022496	0.0000494112
0.0000023496	0.0000588732
0.0000024497	0.0000689070
0.0000025496	0.0000794008
0.0000026496	0.0000901547
0.0000027497	0.0001023470
0.0000028497	0.0001187428
0.0000029497	0.0001356146
0.0000030497	0.0001495614
0.0000031497	0.0001623001
0.0000032497	0.0001745830
0.0000033498	0.0001865139
0.0000034498	0.0001982023
0.0000035498	0.0002100697
0.0000036498	0.0002221216
0.0000037498	0.0002342297
0.0000038498	0.0002464320
0.0000039498	0.0002578705
0.0000040498	0.0002693600
0.0000041498	0.0002813276
0.0000042499	0.0002934271
0.0000043498	0.0003055282
0.0000044498	0.0003174116
0.0000045498	0.0003294372
0.0000046498	0.0003405325
0.0000047499	0.0003512584
0.0000048499	0.0003620737
0.0000049498	0.0003722639
0.0000050498	0.0003817513
0.0000051498	0.0003912767
0.0000052497	0.0004014444
0.0000053498	0.0004123805
0.0000054498	0.0004237885
0.0000055499	0.0004357756
0.0000056500	0.0004480314
0.0000057499	0.0004602950
0.0000058498	0.0004715364
0.0000059497	0.0004829145
