# wavelength (um)	eclipse depth
0.0000006487	0.0000000017
0.0000007489	0.0000000113
0.0000008490	0.0000000575
0.0000009491	0.0000001920
0.0000010492	0.0000004800
0.0000011493	0.0000009687
0.0000012494	0.0000017326
0.0000013494	0.0000027051
0.0000014495	0.0000036092
0.0000015495	0.0000044120
0.0000016495	0.0000058091
0.0000017495	0.0000083264
0.0000018495	0.0000115783
0.0000019495	0.0000148271
0.0000020496	0.0000171891
0.0000021496	0.0000183665
0.0000022496	0.0000193799
0.0000023496	0.0000215150
0.0000024497	0.0000246913
0.0000025496	0.0000290135
0.0000026496	0.0000342943
0.0000027497	0.0000470312
0.0000028497	0.0000576431
0.0000029497	0.0000670586
0.0000030497	0.0000726006
0.0000031497	0.0000787545
0.0000032497	0.0000847766
0.0000033498	0.0000903255
0.0000034498	0.0000973703
0.0000035498	0.0001036374
0.0000036498	0.0001114799
0.0000037498	0.0001206598
0.0000038498	0.0001301539
0.0000039498	0.0001396478
0.0000040498	0.0001498905
0.0000041498	0.0001600774
0.0000042499	0.0001727027
0.0000043498	0.0001829571
0.0000044498	0.0001941500
0.0000045498	0.0002064566
0.0000046498	0.0002220965
0.0000047499	0.0002393690
0.0000048499	0.0002632430
0.0000049498	0.0002930399
0.0000050498	0.0003045171
0.0000051498	0.0003259431
0.0000052497	0.0003385219
0.0000053498	0.0003433701
0.0000054498	0.0003578409
0.0000055499	0.0003692972
0.0000056500	0.0003863387
0.0000057499	0.0003894316
0.0000058498	0.0003995254
0.0000059497	0.0004170808
